environment | time (millisecond),membrane | V (millivolt)
690,-86.3847
691,-86.3848
692,-86.3849
693,-86.3851
694,-86.3852
695,-86.3853
696,-86.3855
697,-86.3856
698,-86.3857
699,-86.3858
700,-86.3859
701,-86.3861
702,-86.3862
703,-86.3863
704,-86.3864
705,-86.3865
706,-86.3867
707,-86.3868
708,-86.3869
709,-86.387
710,-86.3871
711,-86.3872
712,-86.3874
713,-86.3875
714,-86.3876
715,-86.3877
716,-86.3878
717,-86.3879
718,-86.388
719,-86.3881
720,-86.3882
721,-86.3883
722,-86.3884
723,-86.3885
724,-86.3886
725,-86.3887
726,-86.3888
727,-86.3889
728,-86.389
729,-86.3891
730,-86.3892
731,-86.3893
732,-86.3894
733,-86.3895
734,-86.3896
735,-86.3897
736,-86.3898
737,-86.3899
738,-86.39
739,-86.3901
740,-86.3902
741,-86.3903
742,-86.3904
743,-86.3904
744,-86.3905
745,-86.3906
746,-86.3907
747,-86.3908
748,-86.3909
749,-86.391
750,-86.3911
751,-86.3911
752,-86.3912
753,-86.3913
754,-86.3914
755,-86.3915
756,-86.3916
757,-86.3916
758,-86.3917
759,-86.3918
760,-86.3919
761,-86.392
762,-86.392
763,-86.3921
764,-86.3922
765,-86.3923
766,-86.3923
767,-86.3924
768,-86.3925
769,-86.3926
770,-86.3926
771,-86.3927
772,-86.3928
773,-86.3929
774,-86.3929
775,-86.393
776,-86.3931
777,-86.3931
778,-86.3932
779,-86.3933
780,-86.3933
781,-86.3934
782,-86.3935
783,-86.3935
784,-86.3936
785,-86.3937
786,-86.3937
787,-86.3938
788,-86.3939
789,-86.3939
790,-86.394
791,-86.3941
792,-86.3941
793,-86.3942
794,-86.3943
795,-86.3943
796,-86.3944
797,-86.3944
798,-86.3945
799,-86.3946
800,-86.3946
801,-86.3947
802,-86.3947
803,-86.3948
804,-86.3949
805,-86.3949
806,-86.395
807,-86.395
808,-86.3951
809,-86.3951
810,-86.3952
811,-86.3953
812,-86.3953
813,-86.3954
814,-86.3954
815,-86.3955
816,-86.3955
817,-86.3956
818,-86.3956
819,-86.3957
820,-86.3957
821,-86.3958
822,-86.3958
823,-86.3959
824,-86.3959
825,-86.396
826,-86.396
827,-86.3961
828,-86.3961
829,-86.3962
830,-86.3962
831,-86.3963
832,-86.3963
833,-86.3964
834,-86.3964
835,-86.3965
836,-86.3965
837,-86.3966
838,-86.3966
839,-86.3967
840,-86.3967
841,-86.3968
842,-86.3968
843,-86.3968
844,-86.3969
845,-86.3969
846,-86.397
847,-86.397
848,-86.3971
849,-86.3971
850,-86.3972
851,-86.3972
852,-86.3972
853,-86.3973
854,-86.3973
855,-86.3974
856,-86.3974
857,-86.3974
858,-86.3975
859,-86.3975
860,-86.3976
861,-86.3976
862,-86.3976
863,-86.3977
864,-86.3977
865,-86.3978
866,-86.3978
867,-86.3978
868,-86.3979
869,-86.3979
870,-86.3979
871,-86.398
872,-86.398
873,-86.3981
874,-86.3981
875,-86.3981
876,-86.3982
877,-86.3982
878,-86.3982
879,-86.3983
880,-86.3983
881,-86.3983
882,-86.3984
883,-86.3984
884,-86.3985
885,-86.3985
886,-86.3985
887,-86.3986
888,-86.3986
889,-86.3986
890,-86.3987
891,-86.3987
892,-86.3987
893,-86.3988
894,-86.3988
895,-86.3988
896,-86.3988
897,-86.3989
898,-86.3989
899,-86.3989
900,-86.399
901,-86.399
902,-86.399
903,-86.3991
904,-86.3991
905,-86.3991
906,-86.3992
907,-86.3992
908,-86.3992
909,-86.3992
910,-86.3993
911,-86.3993
912,-86.3993
913,-86.3994
914,-86.3994
915,-86.3994
916,-86.3994
917,-86.3995
918,-86.3995
919,-86.3995
920,-86.3996
921,-86.3996
922,-86.3996
923,-86.3996
924,-86.3997
925,-86.3997
926,-86.3997
927,-86.3997
928,-86.3998
929,-86.3998
930,-86.3998
931,-86.3999
932,-86.3999
933,-86.3999
934,-86.3999
935,-86.4
936,-86.4
937,-86.4
938,-86.4
939,-86.4001
940,-86.4001
941,-86.4001
942,-86.4001
943,-86.4002
944,-86.4002
945,-86.4002
946,-86.4002
947,-86.4002
948,-86.4003
949,-86.4003
950,-86.4003
951,-86.4003
952,-86.4004
953,-86.4004
954,-86.4004
955,-86.4004
956,-86.4005
957,-86.4005
958,-86.4005
959,-86.4005
960,-86.4005
961,-86.4006
962,-86.4006
963,-86.4006
964,-86.4006
965,-86.4007
966,-86.4007
967,-86.4007
968,-86.4007
969,-86.4007
970,-86.4008
971,-86.4008
972,-86.4008
973,-86.4008
974,-86.4008
975,-86.4009
976,-86.4009
977,-86.4009
978,-86.4009
979,-86.4009
980,-86.401
981,-86.401
982,-86.401
983,-86.401
984,-86.401
985,-86.4011
986,-86.4011
987,-86.4011
988,-86.4011
989,-86.4011
990,-86.4011
991,-86.4012
992,-86.4012
993,-86.4012
994,-86.4012
995,-86.4012
996,-86.4013
997,-86.4013
998,-86.4013
999,-86.4013
1000,-86.4013
