cell | V (mV),INa | xina (nA_per_nF)
-51.5741,-8.8674
-51.3448,-9.43551
-51.1096,-10.0462
-50.868,-10.7036
-50.6195,-11.4118
-50.3635,-12.176
-50.0996,-13.0016
-49.8269,-13.8947
-49.545,-14.8623
-49.2528,-15.9121
-48.9496,-17.0529
-48.6345,-18.2945
-48.3063,-19.648
-47.9639,-21.1263
-47.606,-22.7435
-47.231,-24.5161
-46.8373,-26.4625
-46.4232,-28.6039
-45.9864,-30.9642
-45.5248,-33.5709
-45.0356,-36.4551
-44.5159,-39.6522
-43.9624,-43.2023
-43.3713,-47.1507
-42.7384,-51.5479
-42.059,-56.4498
-41.3276,-61.9172
-40.5383,-68.0137
-39.6846,-74.7777
-38.7595,-82.2738
-37.7551,-90.6358
-36.6622,-99.9462
-35.4709,-110.282
-34.1707,-121.705
-32.7505,-134.254
-31.1989,-147.924
-29.505,-162.653
-27.6589,-178.293
-25.6527,-194.59
-23.4816,-211.159
-21.1456,-227.474
-18.6505,-242.877
-16.0093,-256.607
-13.2426,-267.876
-10.3788,-275.963
-7.45277,-280.328
-4.50326,-280.696
-1.57034,-277.104
1.30777,-269.878
4.09735,-259.569
6.77089,-246.855
9.30789,-232.451
11.6949,-217.034
13.7778,-201.769
15.7073,-186.503
17.4854,-171.604
19.1171,-157.334
20.6096,-143.864
21.9716,-131.292
23.2121,-119.661
24.3407,-108.972
25.3666,-99.1967
26.2987,-90.2907
27.1456,-82.1978
27.9149,-74.8565
28.6139,-68.2044
29.2493,-62.18
29.8268,-56.7248
30.352,-51.784
30.8298,-47.3073
31.2646,-43.2487
31.6603,-39.5662
32.0204,-36.2224
32.3483,-33.1834
32.6469,-30.419
32.9186,-27.9019
33.1659,-25.6081
33.3909,-23.5158
33.5956,-21.6057
33.7816,-19.8604
33.9506,-18.2645
34.1039,-16.804
34.2429,-15.4665
34.3687,-14.2407
34.4824,-13.1167
34.5849,-12.0853
34.6773,-11.1384
34.7602,-10.2686
34.8345,-9.46916
34.9007,-8.7341
34.9596,-8.05793
35.0116,-7.43567
35.0574,-6.8628
35.0973,-6.33523
35.1319,-5.8492
35.1615,-5.40131
35.1865,-4.98845
35.2072,-4.60778
35.224,-4.2567
35.2371,-3.93284
35.2468,-3.63402
35.2533,-3.35825
35.2569,-3.1037
35.2578,-2.8687
35.2562,-2.65171
35.2522,-2.45133
35.246,-2.26625
35.2378,-2.09529
35.2276,-1.93734
35.2158,-1.79141
35.2022,-1.65656
35.1871,-1.53195
35.1706,-1.41677
35.1527,-1.31032
35.1336,-1.21192
35.1132,-1.12095
35.0918,-1.03684
35.0694,-0.959087
35.0459,-0.887191
35.0216,-0.82071
34.9964,-0.759235
34.9704,-0.702383
34.9436,-0.649807
34.9162,-0.601181
34.888,-0.556207
34.8592,-0.514609
34.8299,-0.476133
