environment | time (second),solute_concentrations | C_m_Na (mmol_per_cm3)
398,33.77805
399,33.7143
400,33.65055
401,33.58695
402,33.5235
403,33.4602
404,33.39705
405,33.33405
406,33.2712
407,33.2085
408,33.14595
409,33.08355
410,33.0213
411,32.9592
412,32.8971
413,32.8353
414,32.7735
415,32.712
416,32.6505
417,32.58915
418,32.52795
419,32.46705
420,32.40615
421,32.3454
422,32.28465
423,32.2242
424,32.1639
425,32.10375
426,32.0436
427,31.9836
428,31.9239
429,31.8642
430,31.80465
431,31.74525
432,31.686
433,31.6269
434,31.5678
435,31.509
436,31.45035
437,31.3917
438,31.3332
439,31.27485
440,31.21665
441,31.1586
442,31.1007
443,31.0428
444,30.9852
445,30.9276
446,30.8703
447,30.813
448,30.75585
449,30.6987
450,30.64185
451,30.58515
452,30.52845
453,30.4719
454,30.4155
455,30.35925
456,30.30315
457,30.2472
458,30.19125
459,30.13545
460,30.07995
461,30.02445
462,29.96895
463,29.91375
464,29.8587
465,29.80365
466,29.74875
467,29.694
468,29.6394
469,29.58495
470,29.5305
471,29.4762
472,29.4222
473,29.3682
474,29.3142
475,29.2605
476,29.2068
477,29.15325
478,29.09985
479,29.0466
480,28.9935
481,28.9404
482,28.88745
483,28.83465
484,28.782
485,28.7295
486,28.677
487,28.62465
488,28.57245
489,28.5204
490,28.4685
491,28.4166
492,28.36485
493,28.31325
494,28.2618
495,28.21035
496,28.15905
497,28.1079
498,28.0569
499,28.00605
500,27.9552
501,27.9045
502,27.85395
503,27.80355
504,27.75315
505,27.7029
506,27.6528
507,27.60285
508,27.5529
509,27.5031
510,27.45345
511,27.40395
512,27.35445
513,27.30525
514,27.25605
515,27.20685
516,27.15795
517,27.10905
518,27.0603
519,27.01155
520,26.9631
521,26.91465
522,26.86635
523,26.81805
524,26.7699
525,26.7219
526,26.67405
527,26.62635
528,26.57865
529,26.5311
530,26.48355
531,26.4363
532,26.38905
533,26.34195
534,26.29485
535,26.2479
536,26.2011
537,26.15445
538,26.1078
539,26.0613
540,26.01495
541,25.96875
542,25.92255
543,25.8765
544,25.83045
545,25.7847
546,25.7388
547,25.6932
548,25.6476
549,25.60215
550,25.55685
551,25.5117
552,25.46655
553,25.4214
554,25.37655
555,25.3317
556,25.287
557,25.2423
558,25.1979
559,25.15335
560,25.1091
561,25.06485
562,25.02075
563,24.9768
564,24.93285
565,24.88905
566,24.84525
567,24.8016
568,24.7581
569,24.71475
570,24.6714
571,24.6282
572,24.585
573,24.54195
574,24.49905
575,24.4563
576,24.41355
577,24.37095
578,24.32835
579,24.2859
580,24.2436
581,24.2013
582,24.15915
583,24.11715
584,24.07515
585,24.0333
586,23.99145
587,23.9499
588,23.9082
589,23.8668
590,23.8254
591,23.78415
592,23.7429
593,23.7018
594,23.6607
595,23.6199
596,23.57895
597,23.5383
598,23.49765
599,23.45715
600,23.41665
601,23.3763
602,23.33595
603,23.29575
604,23.2557
605,23.2158
606,23.1759
607,23.136
608,23.09625
609,23.05665
610,23.01705
