cell | V (mV),INa | INa (uA_per_uF)
-85.2117,-5.55E-06
-85.2117,-5.54E-06
-85.2118,-5.54E-06
-85.2118,-5.54E-06
-85.2118,-5.54E-06
-85.2118,-5.54E-06
-85.2119,-5.54E-06
-85.2119,-5.54E-06
-85.2119,-5.54E-06
-85.212,-5.54E-06
-85.212,-5.54E-06
-85.212,-5.54E-06
-85.2121,-5.54E-06
-85.2121,-5.54E-06
-85.2121,-5.54E-06
-85.2121,-5.54E-06
-85.2122,-5.54E-06
-85.2122,-5.54E-06
-85.2122,-5.54E-06
-85.2123,-5.54E-06
-85.2123,-5.54E-06
-85.2123,-5.54E-06
-85.2124,-5.54E-06
-85.2124,-5.54E-06
-85.2124,-5.54E-06
-85.2124,-5.54E-06
-85.2125,-5.54E-06
-85.2125,-5.54E-06
-85.2125,-5.54E-06
-85.2126,-5.54E-06
-85.2126,-5.54E-06
-85.2126,-5.54E-06
-85.2127,-5.54E-06
-85.2127,-5.54E-06
-85.2127,-5.54E-06
-85.2127,-5.54E-06
-85.2128,-5.54E-06
-85.2128,-5.54E-06
-85.2128,-5.54E-06
-85.2129,-5.54E-06
-85.2129,-5.54E-06
-85.2129,-5.54E-06
-85.213,-5.54E-06
-85.213,-5.54E-06
-85.213,-5.54E-06
-85.213,-5.54E-06
-85.2131,-5.54E-06
-85.2131,-5.54E-06
-85.2131,-5.54E-06
-85.2132,-5.54E-06
-85.2132,-5.54E-06
-85.2132,-5.54E-06
-85.2133,-5.54E-06
-85.2133,-5.54E-06
-85.2133,-5.54E-06
-85.2133,-5.54E-06
-85.2134,-5.54E-06
-85.2134,-5.54E-06
-85.2134,-5.54E-06
-85.2135,-5.54E-06
-85.2135,-5.54E-06
-85.2135,-5.54E-06
-85.2136,-5.54E-06
-85.2136,-5.54E-06
-85.2136,-5.54E-06
-85.2136,-5.54E-06
-85.2137,-5.54E-06
-85.2137,-5.54E-06
-85.2137,-5.54E-06
-85.2138,-5.54E-06
-85.2138,-5.54E-06
-85.2138,-5.54E-06
-85.2138,-5.54E-06
-85.2139,-5.54E-06
-85.2139,-5.54E-06
-85.2139,-5.54E-06
-85.214,-5.54E-06
-85.214,-5.54E-06
-85.214,-5.54E-06
-85.2141,-5.54E-06
-85.2141,-5.54E-06
-85.2141,-5.54E-06
-85.2141,-5.54E-06
-85.2142,-5.54E-06
-85.2142,-5.54E-06
-85.2142,-5.54E-06
-85.2143,-5.54E-06
-85.2143,-5.54E-06
-85.2143,-5.54E-06
-85.2144,-5.54E-06
-85.2144,-5.54E-06
-85.2144,-5.54E-06
-85.2144,-5.54E-06
-85.2145,-5.54E-06
-85.2145,-5.54E-06
-85.2145,-5.54E-06
-85.2146,-5.54E-06
-85.2146,-5.54E-06
-85.2146,-5.54E-06
-85.2147,-5.54E-06
-85.2147,-5.54E-06
-85.2147,-5.54E-06
-85.2147,-5.54E-06
-85.2148,-5.54E-06
-85.2148,-5.54E-06
-85.2148,-5.54E-06
-85.2149,-5.54E-06
-85.2149,-5.54E-06
-85.2149,-5.54E-06
-85.215,-5.54E-06
-85.215,-5.54E-06
-85.215,-5.54E-06
-85.215,-5.54E-06
-85.2151,-5.54E-06
-85.2151,-5.54E-06
-85.2151,-5.54E-06
-85.2152,-5.54E-06
-85.2152,-5.54E-06
-85.2152,-5.54E-06
-85.2152,-5.54E-06
-85.2153,-5.54E-06
-85.2153,-5.54E-06
-85.2153,-5.54E-06
-85.2154,-5.54E-06
-85.2154,-5.54E-06
-85.2154,-5.54E-06
-85.2155,-5.54E-06
-85.2155,-5.53E-06
-85.2155,-5.53E-06
-85.2155,-5.53E-06
-85.2156,-5.53E-06
-85.2156,-5.53E-06
-85.2156,-5.53E-06
-85.2157,-5.53E-06
-85.2157,-5.53E-06
-85.2157,-5.53E-06
-85.2158,-5.53E-06
-85.2158,-5.53E-06
-85.2158,-5.53E-06
-85.2158,-5.53E-06
-85.2159,-5.53E-06
-85.2159,-5.53E-06
-85.2159,-5.53E-06
-85.216,-5.53E-06
-85.216,-5.53E-06
-85.216,-5.53E-06
-85.2161,-5.53E-06
-85.2161,-5.53E-06
-85.2161,-5.53E-06
-85.2161,-5.53E-06
-85.2162,-5.53E-06
-85.2162,-5.53E-06
-85.2162,-5.53E-06
-85.2163,-5.53E-06
-85.2163,-5.53E-06
-85.2163,-5.53E-06
-85.2163,-5.53E-06
-85.2164,-5.53E-06
-85.2164,-5.53E-06
-85.2164,-5.53E-06
-85.2165,-5.53E-06
-85.2165,-5.53E-06
-85.2165,-5.53E-06
-85.2166,-5.53E-06
-85.2166,-5.53E-06
-85.2166,-5.53E-06
-85.2166,-5.53E-06
-85.2167,-5.53E-06
-85.2167,-5.53E-06
-85.2167,-5.53E-06
-85.2168,-5.53E-06
-85.2168,-5.53E-06
-85.2168,-5.53E-06
-85.2169,-5.53E-06
-85.2169,-5.53E-06
-85.2169,-5.53E-06
-85.2169,-5.53E-06
-85.217,-5.53E-06
-85.217,-5.53E-06
-85.217,-5.53E-06
-85.2171,-5.53E-06
-85.2171,-5.53E-06
-85.2171,-5.53E-06
-85.2172,-5.53E-06
-85.2172,-5.53E-06
-85.2172,-5.53E-06
-85.2172,-5.53E-06
-85.2173,-5.53E-06
-85.2173,-5.53E-06
-85.2173,-5.53E-06
-85.2174,-5.53E-06
-85.2174,-5.53E-06
-85.2174,-5.53E-06
-85.2174,-5.53E-06
-85.2175,-5.53E-06
-85.2175,-5.53E-06
-85.2175,-5.53E-06
-85.2176,-5.53E-06
-85.2176,-5.53E-06
-85.2176,-5.53E-06
-85.2177,-5.53E-06
-85.2177,-5.53E-06
-85.2177,-5.53E-06
-85.2177,-5.53E-06
-85.2178,-5.53E-06
-85.2178,-5.53E-06
-85.2178,-5.53E-06
-85.2179,-5.53E-06
-85.2179,-5.53E-06
-85.2179,-5.53E-06
-85.218,-5.53E-06
-85.218,-5.53E-06
-85.218,-5.53E-06
-85.218,-5.53E-06
-85.2181,-5.53E-06
-85.2181,-5.53E-06
-85.2181,-5.53E-06
-85.2182,-5.53E-06
-85.2182,-5.53E-06
-85.2182,-5.53E-06
-85.2182,-5.53E-06
-85.2183,-5.53E-06
-85.2183,-5.53E-06
-85.2183,-5.53E-06
-85.2184,-5.53E-06
-85.2184,-5.53E-06
-85.2184,-5.53E-06
-85.2185,-5.53E-06
-85.2185,-5.53E-06
-85.2185,-5.53E-06
-85.2185,-5.53E-06
-85.2186,-5.53E-06
-85.2186,-5.53E-06
-85.2186,-5.53E-06
-85.2187,-5.53E-06
-85.2187,-5.53E-06
-85.2187,-5.53E-06
-85.2187,-5.53E-06
-85.2188,-5.53E-06
-85.2188,-5.53E-06
-85.2188,-5.53E-06
-85.2189,-5.53E-06
-85.2189,-5.53E-06
-85.2189,-5.53E-06
-85.219,-5.53E-06
-85.219,-5.53E-06
-85.219,-5.53E-06
-85.219,-5.53E-06
-85.2191,-5.53E-06
-85.2191,-5.53E-06
-85.2191,-5.53E-06
-85.2192,-5.53E-06
-85.2192,-5.53E-06
-85.2192,-5.53E-06
-85.2193,-5.52E-06
-85.2193,-5.52E-06
-85.2193,-5.52E-06
-85.2193,-5.52E-06
-85.2194,-5.52E-06
-85.2194,-5.52E-06
-85.2194,-5.52E-06
-85.2195,-5.52E-06
-85.2195,-5.52E-06
-85.2195,-5.52E-06
-85.2195,-5.52E-06
-85.2196,-5.52E-06
-85.2196,-5.52E-06
-85.2196,-5.52E-06
-85.2197,-5.52E-06
-85.2197,-5.52E-06
-85.2197,-5.52E-06
-85.2198,-5.52E-06
-85.2198,-5.52E-06
-85.2198,-5.52E-06
-85.2198,-5.52E-06
-85.2199,-5.52E-06
-85.2199,-5.52E-06
-85.2199,-5.52E-06
-85.22,-5.52E-06
-85.22,-5.52E-06
-85.22,-5.52E-06
-85.22,-5.52E-06
-85.2201,-5.52E-06
-85.2201,-5.52E-06
-85.2201,-5.52E-06
-85.2202,-5.52E-06
-85.2202,-5.52E-06
-85.2202,-5.52E-06
-85.2203,-5.52E-06
-85.2203,-5.52E-06
-85.2203,-5.52E-06
-85.2203,-5.52E-06
-85.2204,-5.52E-06
-85.2204,-5.52E-06
-85.2204,-5.52E-06
-85.2205,-5.52E-06
-85.2205,-5.52E-06
-85.2205,-5.52E-06
-85.2205,-5.52E-06
-85.2206,-5.52E-06
-85.2206,-5.52E-06
-85.2206,-5.52E-06
-85.2207,-5.52E-06
-85.2207,-5.52E-06
-85.2207,-5.52E-06
-85.2208,-5.52E-06
-85.2208,-5.52E-06
-85.2208,-5.52E-06
-85.2208,-5.52E-06
-85.2209,-5.52E-06
-85.2209,-5.52E-06
-85.2209,-5.52E-06
-85.221,-5.52E-06
-85.221,-5.52E-06
-85.221,-5.52E-06
-85.2211,-5.52E-06
-85.2211,-5.52E-06
-85.2211,-5.52E-06
-85.2211,-5.52E-06
-85.2212,-5.52E-06
-85.2212,-5.52E-06
-85.2212,-5.52E-06
-85.2213,-5.52E-06
-85.2213,-5.52E-06
-85.2213,-5.52E-06
-85.2213,-5.52E-06
-85.2214,-5.52E-06
-85.2214,-5.52E-06
-85.2214,-5.52E-06
-85.2215,-5.52E-06
-85.2215,-5.52E-06
-85.2215,-5.52E-06
-85.2216,-5.52E-06
-85.2216,-5.52E-06
-85.2216,-5.52E-06
-85.2216,-5.52E-06
-85.2217,-5.52E-06
-85.2217,-5.52E-06
-85.2217,-5.52E-06
-85.2218,-5.52E-06
-85.2218,-5.52E-06
-85.2218,-5.52E-06
-85.2218,-5.52E-06
-85.2219,-5.52E-06
-85.2219,-5.52E-06
-85.2219,-5.52E-06
-85.222,-5.52E-06
-85.222,-5.52E-06
-85.222,-5.52E-06
-85.2221,-5.52E-06
-85.2221,-5.52E-06
-85.2221,-5.52E-06
-85.2221,-5.52E-06
-85.2222,-5.52E-06
-85.2222,-5.52E-06
-85.2222,-5.52E-06
-85.2223,-5.52E-06
-85.2223,-5.52E-06
-85.2223,-5.52E-06
-85.2223,-5.52E-06
-85.2224,-5.52E-06
-85.2224,-5.52E-06
-85.2224,-5.52E-06
-85.2225,-5.52E-06
-85.2225,-5.52E-06
-85.2225,-5.52E-06
-85.2225,-5.52E-06
-85.2226,-5.52E-06
-85.2226,-5.52E-06
-85.2226,-5.52E-06
-85.2227,-5.52E-06
-85.2227,-5.52E-06
-85.2227,-5.52E-06
-85.2228,-5.52E-06
-85.2228,-5.52E-06
-85.2228,-5.52E-06
-85.2228,-5.52E-06
-85.2229,-5.52E-06
-85.2229,-5.52E-06
-85.2229,-5.52E-06
-85.223,-5.52E-06
-85.223,-5.52E-06
-85.223,-5.51E-06
-85.223,-5.51E-06
-85.2231,-5.51E-06
-85.2231,-5.51E-06
-85.2231,-5.51E-06
-85.2232,-5.51E-06
-85.2232,-5.51E-06
-85.2232,-5.51E-06
-85.2233,-5.51E-06
-85.2233,-5.51E-06
-85.2233,-5.51E-06
-85.2233,-5.51E-06
-85.2234,-5.51E-06
-85.2234,-5.51E-06
-85.2234,-5.51E-06
-85.2235,-5.51E-06
-85.2235,-5.51E-06
-85.2235,-5.51E-06
-85.2235,-5.51E-06
-85.2236,-5.51E-06
-85.2236,-5.51E-06
-85.2236,-5.51E-06
-85.2237,-5.51E-06
-85.2237,-5.51E-06
-85.2237,-5.51E-06
-85.2238,-5.51E-06
-85.2238,-5.51E-06
-85.2238,-5.51E-06
-85.2238,-5.51E-06
-85.2239,-5.51E-06
-85.2239,-5.51E-06
-85.2239,-5.51E-06
-85.224,-5.51E-06
-85.224,-5.51E-06
-85.224,-5.51E-06
-85.224,-5.51E-06
-85.2241,-5.51E-06
-85.2241,-5.51E-06
-85.2241,-5.51E-06
-85.2242,-5.51E-06
-85.2242,-5.51E-06
-85.2242,-5.51E-06
-85.2242,-5.51E-06
-85.2243,-5.51E-06
-85.2243,-5.51E-06
-85.2243,-5.51E-06
-85.2244,-5.51E-06
-85.2244,-5.51E-06
-85.2244,-5.51E-06
-85.2245,-5.51E-06
-85.2245,-5.51E-06
-85.2245,-5.51E-06
-85.2245,-5.51E-06
-85.2246,-5.51E-06
-85.2246,-5.51E-06
-85.2246,-5.51E-06
-85.2247,-5.51E-06
-85.2247,-5.51E-06
-85.2247,-5.51E-06
-85.2247,-5.51E-06
-85.2248,-5.51E-06
-85.2248,-5.51E-06
-85.2248,-5.51E-06
-85.2249,-5.51E-06
-85.2249,-5.51E-06
-85.2249,-5.51E-06
-85.225,-5.51E-06
-85.225,-5.51E-06
-85.225,-5.51E-06
-85.225,-5.51E-06
-85.2251,-5.51E-06
-85.2251,-5.51E-06
-85.2251,-5.51E-06
-85.2252,-5.51E-06
-85.2252,-5.51E-06
-85.2252,-5.51E-06
-85.2252,-5.51E-06
-85.2253,-5.51E-06
-85.2253,-5.51E-06
-85.2253,-5.51E-06
-85.2254,-5.51E-06
-85.2254,-5.51E-06
-85.2254,-5.51E-06
-85.2254,-5.51E-06
-85.2255,-5.51E-06
-85.2255,-5.51E-06
-85.2255,-5.51E-06
-85.2256,-5.51E-06
-85.2256,-5.51E-06
-85.2256,-5.51E-06
-85.2257,-5.51E-06
-85.2257,-5.51E-06
-85.2257,-5.51E-06
-85.2257,-5.51E-06
-85.2258,-5.51E-06
-85.2258,-5.51E-06
-85.2258,-5.51E-06
-85.2259,-5.51E-06
-85.2259,-5.51E-06
-85.2259,-5.51E-06
-85.2259,-5.51E-06
-85.226,-5.51E-06
-85.226,-5.51E-06
-85.226,-5.51E-06
-85.2261,-5.51E-06
-85.2261,-5.51E-06
-85.2261,-5.51E-06
-85.2261,-5.51E-06
-85.2262,-5.51E-06
-85.2262,-5.51E-06
-85.2262,-5.51E-06
-85.2263,-5.51E-06
-85.2263,-5.51E-06
-85.2263,-5.51E-06
-85.2264,-5.51E-06
-85.2264,-5.51E-06
-85.2264,-5.51E-06
-85.2264,-5.51E-06
-85.2265,-5.51E-06
-85.2265,-5.51E-06
-85.2265,-5.51E-06
-85.2266,-5.51E-06
-85.2266,-5.51E-06
-85.2266,-5.51E-06
-85.2266,-5.51E-06
-85.2267,-5.51E-06
-85.2267,-5.51E-06
-85.2267,-5.51E-06
-85.2268,-5.51E-06
-85.2268,-5.50E-06
-85.2268,-5.50E-06
-85.2268,-5.50E-06
-85.2269,-5.50E-06
-85.2269,-5.50E-06
-85.2269,-5.50E-06
-85.227,-5.50E-06
-85.227,-5.50E-06
-85.227,-5.50E-06
-85.2271,-5.50E-06
-85.2271,-5.50E-06
-85.2271,-5.50E-06
-85.2271,-5.50E-06
-85.2272,-5.50E-06
-85.2272,-5.50E-06
-85.2272,-5.50E-06
-85.2273,-5.50E-06
-85.2273,-5.50E-06
-85.2273,-5.50E-06
-85.2273,-5.50E-06
-85.2274,-5.50E-06
-85.2274,-5.50E-06
-85.2274,-5.50E-06
-85.2275,-5.50E-06
-85.2275,-5.50E-06
-85.2275,-5.50E-06
-85.2275,-5.50E-06
-85.2276,-5.50E-06
-85.2276,-5.50E-06
-85.2276,-5.50E-06
-85.2277,-5.50E-06
-85.2277,-5.50E-06
-85.2277,-5.50E-06
-85.2277,-5.50E-06
-85.2278,-5.50E-06
-85.2278,-5.50E-06
-85.2278,-5.50E-06
-85.2279,-5.50E-06
-85.2279,-5.50E-06
-85.2279,-5.50E-06
-85.228,-5.50E-06
-85.228,-5.50E-06
-85.228,-5.50E-06
-85.228,-5.50E-06
-85.2281,-5.50E-06
-85.2281,-5.50E-06
-85.2281,-5.50E-06
-85.2282,-5.50E-06
-85.2282,-5.50E-06
-85.2282,-5.50E-06
-85.2282,-5.50E-06
-85.2283,-5.50E-06
-85.2283,-5.50E-06
-85.2283,-5.50E-06
-85.2284,-5.50E-06
-85.2284,-5.50E-06
-85.2284,-5.50E-06
-85.2284,-5.50E-06
-85.2285,-5.50E-06
-85.2285,-5.50E-06
-85.2285,-5.50E-06
-85.2286,-5.50E-06
-85.2286,-5.50E-06
-85.2286,-5.50E-06
-85.2287,-5.50E-06
-85.2287,-5.50E-06
-85.2287,-5.50E-06
-85.2287,-5.50E-06
-85.2288,-5.50E-06
-85.2288,-5.50E-06
-85.2288,-5.50E-06
-85.2289,-5.50E-06
-85.2289,-5.50E-06
-85.2289,-5.50E-06
-85.2289,-5.50E-06
-85.229,-5.50E-06
-85.229,-5.50E-06
-85.229,-5.50E-06
-85.2291,-5.50E-06
-85.2291,-5.50E-06
-85.2291,-5.50E-06
-85.2291,-5.50E-06
-85.2292,-5.50E-06
-85.2292,-5.50E-06
-85.2292,-5.50E-06
-85.2293,-5.50E-06
-85.2293,-5.50E-06
-85.2293,-5.50E-06
-85.2293,-5.50E-06
-85.2294,-5.50E-06
-85.2294,-5.50E-06
-85.2294,-5.50E-06
-85.2295,-5.50E-06
-85.2295,-5.50E-06
-85.2295,-5.50E-06
-85.2295,-5.50E-06
-85.2296,-5.50E-06
-85.2296,-5.50E-06
-85.2296,-5.50E-06
-85.2297,-5.50E-06
-85.2297,-5.50E-06
-85.2297,-5.50E-06
-85.2298,-5.50E-06
-85.2298,-5.50E-06
-85.2298,-5.50E-06
-85.2298,-5.50E-06
-85.2299,-5.50E-06
-85.2299,-5.50E-06
-85.2299,-5.50E-06
-85.23,-5.50E-06
-85.23,-5.50E-06
-85.23,-5.50E-06
-85.23,-5.50E-06
-85.2301,-5.50E-06
-85.2301,-5.50E-06
-85.2301,-5.50E-06
-85.2302,-5.50E-06
-85.2302,-5.50E-06
-85.2302,-5.50E-06
-85.2302,-5.50E-06
-85.2303,-5.50E-06
-85.2303,-5.50E-06
-85.2303,-5.50E-06
-85.2304,-5.50E-06
-85.2304,-5.50E-06
-85.2304,-5.50E-06
-85.2304,-5.50E-06
-85.2305,-5.50E-06
-85.2305,-5.50E-06
-85.2305,-5.50E-06
-85.2306,-5.49E-06
-85.2306,-5.49E-06
-85.2306,-5.49E-06
-85.2306,-5.49E-06
-85.2307,-5.49E-06
-85.2307,-5.49E-06
-85.2307,-5.49E-06
-85.2308,-5.49E-06
-85.2308,-5.49E-06
-85.2308,-5.49E-06
-85.2309,-5.49E-06
-85.2309,-5.49E-06
-85.2309,-5.49E-06
-85.2309,-5.49E-06
-85.231,-5.49E-06
-85.231,-5.49E-06
-85.231,-5.49E-06
-85.2311,-5.49E-06
-85.2311,-5.49E-06
-85.2311,-5.49E-06
-85.2311,-5.49E-06
-85.2312,-5.49E-06
-85.2312,-5.49E-06
-85.2312,-5.49E-06
-85.2313,-5.49E-06
-85.2313,-5.49E-06
-85.2313,-5.49E-06
-85.2313,-5.49E-06
-85.2314,-5.49E-06
-85.2314,-5.49E-06
-85.2314,-5.49E-06
-85.2315,-5.49E-06
-85.2315,-5.49E-06
-85.2315,-5.49E-06
-85.2315,-5.49E-06
-85.2316,-5.49E-06
-85.2316,-5.49E-06
-85.2316,-5.49E-06
-85.2317,-5.49E-06
-85.2317,-5.49E-06
-85.2317,-5.49E-06
-85.2317,-5.49E-06
-85.2318,-5.49E-06
-85.2318,-5.49E-06
-85.2318,-5.49E-06
-85.2319,-5.49E-06
-85.2319,-5.49E-06
-85.2319,-5.49E-06
-85.2319,-5.49E-06
-85.232,-5.49E-06
-85.232,-5.49E-06
-85.232,-5.49E-06
-85.2321,-5.49E-06
-85.2321,-5.49E-06
-85.2321,-5.49E-06
-85.2322,-5.49E-06
-85.2322,-5.49E-06
-85.2322,-5.49E-06
-85.2322,-5.49E-06
-85.2323,-5.49E-06
-85.2323,-5.49E-06
-85.2323,-5.49E-06
-85.2324,-5.49E-06
-85.2324,-5.49E-06
-85.2324,-5.49E-06
-85.2324,-5.49E-06
-85.2325,-5.49E-06
-85.2325,-5.49E-06
-85.2325,-5.49E-06
-85.2326,-5.49E-06
-85.2326,-5.49E-06
-85.2326,-5.49E-06
-85.2326,-5.49E-06
-85.2327,-5.49E-06
-85.2327,-5.49E-06
-85.2327,-5.49E-06
-85.2328,-5.49E-06
-85.2328,-5.49E-06
-85.2328,-5.49E-06
-85.2328,-5.49E-06
-85.2329,-5.49E-06
-85.2329,-5.49E-06
-85.2329,-5.49E-06
-85.233,-5.49E-06
-85.233,-5.49E-06
-85.233,-5.49E-06
-85.233,-5.49E-06
-85.2331,-5.49E-06
-85.2331,-5.49E-06
-85.2331,-5.49E-06
-85.2332,-5.49E-06
-85.2332,-5.49E-06
-85.2332,-5.49E-06
-85.2332,-5.49E-06
-85.2333,-5.49E-06
-85.2333,-5.49E-06
-85.2333,-5.49E-06
-85.2334,-5.49E-06
-85.2334,-5.49E-06
-85.2334,-5.49E-06
-85.2334,-5.49E-06
-85.2335,-5.49E-06
-85.2335,-5.49E-06
-85.2335,-5.49E-06
-85.2336,-5.49E-06
-85.2336,-5.49E-06
-85.2336,-5.49E-06
-85.2336,-5.49E-06
-85.2337,-5.49E-06
-85.2337,-5.49E-06
-85.2337,-5.49E-06
-85.2338,-5.49E-06
-85.2338,-5.49E-06
-85.2338,-5.49E-06
-85.2339,-5.49E-06
-85.2339,-5.49E-06
-85.2339,-5.49E-06
-85.2339,-5.49E-06
-85.234,-5.49E-06
-85.234,-5.49E-06
-85.234,-5.49E-06
-85.2341,-5.49E-06
-85.2341,-5.49E-06
-85.2341,-5.49E-06
-85.2341,-5.49E-06
-85.2342,-5.49E-06
-85.2342,-5.49E-06
-85.2342,-5.49E-06
-85.2343,-5.49E-06
-85.2343,-5.49E-06
-85.2343,-5.49E-06
-85.2343,-5.48E-06
-85.2344,-5.48E-06
-85.2344,-5.48E-06
-85.2344,-5.48E-06
-85.2345,-5.48E-06
-85.2345,-5.48E-06
-85.2345,-5.48E-06
-85.2345,-5.48E-06
-85.2346,-5.48E-06
-85.2346,-5.48E-06
-85.2346,-5.48E-06
-85.2347,-5.48E-06
-85.2347,-5.48E-06
-85.2347,-5.48E-06
-85.2347,-5.48E-06
-85.2348,-5.48E-06
-85.2348,-5.48E-06
-85.2348,-5.48E-06
-85.2349,-5.48E-06
-85.2349,-5.48E-06
-85.2349,-5.48E-06
-85.2349,-5.48E-06
-85.235,-5.48E-06
-85.235,-5.48E-06
-85.235,-5.48E-06
-85.2351,-5.48E-06
-85.2351,-5.48E-06
-85.2351,-5.48E-06
-85.2351,-5.48E-06
-85.2352,-5.48E-06
-85.2352,-5.48E-06
-85.2352,-5.48E-06
-85.2353,-5.48E-06
-85.2353,-5.48E-06
-85.2353,-5.48E-06
-85.2353,-5.48E-06
-85.2354,-5.48E-06
-85.2354,-5.48E-06
-85.2354,-5.48E-06
-85.2355,-5.48E-06
-85.2355,-5.48E-06
-85.2355,-5.48E-06
-85.2355,-5.48E-06
-85.2356,-5.48E-06
-85.2356,-5.48E-06
-85.2356,-5.48E-06
-85.2357,-5.48E-06
-85.2357,-5.48E-06
-85.2357,-5.48E-06
-85.2357,-5.48E-06
-85.2358,-5.48E-06
-85.2358,-5.48E-06
-85.2358,-5.48E-06
-85.2359,-5.48E-06
-85.2359,-5.48E-06
-85.2359,-5.48E-06
-85.2359,-5.48E-06
-85.236,-5.48E-06
-85.236,-5.48E-06
-85.236,-5.48E-06
-85.2361,-5.48E-06
-85.2361,-5.48E-06
-85.2361,-5.48E-06
-85.2361,-5.48E-06
-85.2362,-5.48E-06
-85.2362,-5.48E-06
-85.2362,-5.48E-06
-85.2363,-5.48E-06
-85.2363,-5.48E-06
-85.2363,-5.48E-06
-85.2363,-5.48E-06
-85.2364,-5.48E-06
-85.2364,-5.48E-06
-85.2364,-5.48E-06
-85.2365,-5.48E-06
-85.2365,-5.48E-06
-85.2365,-5.48E-06
-85.2365,-5.48E-06
-85.2366,-5.48E-06
-85.2366,-5.48E-06
-85.2366,-5.48E-06
-85.2367,-5.48E-06
-85.2367,-5.48E-06
-85.2367,-5.48E-06
-85.2367,-5.48E-06
-85.2368,-5.48E-06
-85.2368,-5.48E-06
-85.2368,-5.48E-06
-85.2369,-5.48E-06
-85.2369,-5.48E-06
-85.2369,-5.48E-06
-85.2369,-5.48E-06
-85.237,-5.48E-06
-85.237,-5.48E-06
-85.237,-5.48E-06
-85.2371,-5.48E-06
-85.2371,-5.48E-06
-85.2371,-5.48E-06
-85.2371,-5.48E-06
-85.2372,-5.48E-06
-85.2372,-5.48E-06
-85.2372,-5.48E-06
-85.2373,-5.48E-06
-85.2373,-5.48E-06
-85.2373,-5.48E-06
-85.2373,-5.48E-06
-85.2374,-5.48E-06
-85.2374,-5.48E-06
-85.2374,-5.48E-06
-85.2375,-5.48E-06
-85.2375,-5.48E-06
-85.2375,-5.48E-06
-85.2375,-5.48E-06
-85.2376,-5.48E-06
-85.2376,-5.48E-06
-85.2376,-5.48E-06
-85.2377,-5.48E-06
-85.2377,-5.48E-06
-85.2377,-5.48E-06
-85.2377,-5.48E-06
-85.2378,-5.48E-06
-85.2378,-5.48E-06
-85.2378,-5.48E-06
-85.2379,-5.48E-06
-85.2379,-5.48E-06
-85.2379,-5.48E-06
-85.2379,-5.48E-06
-85.238,-5.48E-06
-85.238,-5.48E-06
-85.238,-5.48E-06
-85.2381,-5.48E-06
-85.2381,-5.48E-06
-85.2381,-5.47E-06
-85.2381,-5.47E-06
-85.2382,-5.47E-06
-85.2382,-5.47E-06
-85.2382,-5.47E-06
-85.2383,-5.47E-06
-85.2383,-5.47E-06
-85.2383,-5.47E-06
-85.2383,-5.47E-06
-85.2384,-5.47E-06
-85.2384,-5.47E-06
-85.2384,-5.47E-06
-85.2385,-5.47E-06
-85.2385,-5.47E-06
-85.2385,-5.47E-06
-85.2385,-5.47E-06
-85.2386,-5.47E-06
-85.2386,-5.47E-06
-85.2386,-5.47E-06
-85.2387,-5.47E-06
-85.2387,-5.47E-06
-85.2387,-5.47E-06
-85.2387,-5.47E-06
-85.2388,-5.47E-06
-85.2388,-5.47E-06
-85.2388,-5.47E-06
-85.2389,-5.47E-06
-85.2389,-5.47E-06
-85.2389,-5.47E-06
-85.2389,-5.47E-06
-85.239,-5.47E-06
-85.239,-5.47E-06
-85.239,-5.47E-06
-85.2391,-5.47E-06
-85.2391,-5.47E-06
-85.2391,-5.47E-06
-85.2391,-5.47E-06
-85.2392,-5.47E-06
-85.2392,-5.47E-06
-85.2392,-5.47E-06
-85.2393,-5.47E-06
-85.2393,-5.47E-06
-85.2393,-5.47E-06
-85.2393,-5.47E-06
-85.2394,-5.47E-06
-85.2394,-5.47E-06
-85.2394,-5.47E-06
-85.2395,-5.47E-06
-85.2395,-5.47E-06
-85.2395,-5.47E-06
-85.2395,-5.47E-06
-85.2396,-5.47E-06
-85.2396,-5.47E-06
-85.2396,-5.47E-06
-85.2397,-5.47E-06
-85.2397,-5.47E-06
-85.2397,-5.47E-06
-85.2397,-5.47E-06
-85.2398,-5.47E-06
-85.2398,-5.47E-06
-85.2398,-5.47E-06
-85.2399,-5.47E-06
-85.2399,-5.47E-06
-85.2399,-5.47E-06
-85.2399,-5.47E-06
-85.24,-5.47E-06
-85.24,-5.47E-06
-85.24,-5.47E-06
-85.2401,-5.47E-06
-85.2401,-5.47E-06
-85.2401,-5.47E-06
-85.2401,-5.47E-06
-85.2402,-5.47E-06
-85.2402,-5.47E-06
-85.2402,-5.47E-06
-85.2403,-5.47E-06
-85.2403,-5.47E-06
-85.2403,-5.47E-06
-85.2403,-5.47E-06
-85.2404,-5.47E-06
-85.2404,-5.47E-06
-85.2404,-5.47E-06
-85.2405,-5.47E-06
-85.2405,-5.47E-06
-85.2405,-5.47E-06
-85.2405,-5.47E-06
-85.2406,-5.47E-06
-85.2406,-5.47E-06
-85.2406,-5.47E-06
-85.2406,-5.47E-06
-85.2407,-5.47E-06
-85.2407,-5.47E-06
-85.2407,-5.47E-06
-85.2408,-5.47E-06
-85.2408,-5.47E-06
-85.2408,-5.47E-06
-85.2408,-5.47E-06
-85.2409,-5.47E-06
-85.2409,-5.47E-06
-85.2409,-5.47E-06
-85.241,-5.47E-06
