environment | time (second),NHE3 | C_ext_Na (mM),Concentrations | C_ext_Na (mM)
1,0.2,0.2
2,0.235,0.235
3,0.55,0.55
4,0.8,0.8
5,1.01,1.01
6,1.56,1.56
7,2.01,2.01
8,2.99,2.99
9,4,4
