membrane | V (mV),sodium_current | i_Na (uA_per_mm2)
-84.62,-0.00404535
-84.6199,-0.00404535
-84.6199,-0.00404534
-84.6199,-0.00404534
-84.6199,-0.00404534
-84.6199,-0.00404534
-84.6199,-0.00404534
-84.6199,-0.00404534
-84.6199,-0.00404534
-84.6199,-0.00404534
-84.6198,-0.00404534
-84.6198,-0.00404534
-84.6198,-0.00404534
-84.6198,-0.00404534
-84.6198,-0.00404534
-84.6198,-0.00404534
-84.6198,-0.00404534
-84.6198,-0.00404534
-84.6198,-0.00404534
-84.6198,-0.00404534
-84.6197,-0.00404534
-84.6197,-0.00404534
-84.6197,-0.00404534
-84.6197,-0.00404534
-84.6197,-0.00404534
-84.6197,-0.00404534
-84.6197,-0.00404534
-84.6197,-0.00404534
-84.6197,-0.00404534
-84.6197,-0.00404534
-84.6196,-0.00404534
-84.6196,-0.00404534
-84.6196,-0.00404534
-84.6196,-0.00404534
-84.6196,-0.00404534
-84.6196,-0.00404534
-84.6196,-0.00404534
-84.6196,-0.00404533
-84.6196,-0.00404533
-84.6196,-0.00404533
-84.6195,-0.00404533
-84.6195,-0.00404533
-84.6195,-0.00404533
-84.6195,-0.00404533
-84.6195,-0.00404533
-84.6195,-0.00404533
-84.6195,-0.00404533
-84.6195,-0.00404533
-84.6195,-0.00404533
-84.6195,-0.00404533
-84.6194,-0.00404533
-84.6194,-0.00404533
-84.6194,-0.00404533
-84.6194,-0.00404533
-84.6194,-0.00404533
-84.6194,-0.00404533
-84.6194,-0.00404533
-84.6194,-0.00404533
-84.6194,-0.00404533
-84.6194,-0.00404533
-84.6194,-0.00404533
-84.6193,-0.00404533
-84.6193,-0.00404533
-84.6193,-0.00404533
-84.6193,-0.00404533
-84.6193,-0.00404533
-84.6193,-0.00404533
-84.6193,-0.00404533
-84.6193,-0.00404533
-84.6193,-0.00404533
-84.6193,-0.00404533
-84.6193,-0.00404533
-84.6192,-0.00404533
-84.6192,-0.00404533
-84.6192,-0.00404533
-84.6192,-0.00404533
-84.6192,-0.00404532
-84.6192,-0.00404532
-84.6192,-0.00404532
-84.6192,-0.00404532
-84.6192,-0.00404532
-84.6192,-0.00404532
-84.6192,-0.00404532
-84.6191,-0.00404532
-84.6191,-0.00404532
-84.6191,-0.00404532
-84.6191,-0.00404532
-84.6191,-0.00404532
-84.6191,-0.00404532
-84.6191,-0.00404532
-84.6191,-0.00404532
-84.6191,-0.00404532
-84.6191,-0.00404532
-84.6191,-0.00404532
-84.6191,-0.00404532
-84.619,-0.00404532
-84.619,-0.00404532
-84.619,-0.00404532
-84.619,-0.00404532
-84.619,-0.00404532
-84.619,-0.00404532
-84.619,-0.00404532
-84.619,-0.00404532
-84.619,-0.00404532
-84.619,-0.00404532
-84.619,-0.00404532
-84.619,-0.00404532
-84.6189,-0.00404532
-84.6189,-0.00404532
-84.6189,-0.00404532
-84.6189,-0.00404532
-84.6189,-0.00404532
-84.6189,-0.00404532
-84.6189,-0.00404532
-84.6189,-0.00404532
-84.6189,-0.00404532
-84.6189,-0.00404532
-84.6189,-0.00404532
-84.6189,-0.00404532
-84.6189,-0.00404532
-84.6188,-0.00404532
-84.6188,-0.00404531
-84.6188,-0.00404531
-84.6188,-0.00404531
-84.6188,-0.00404531
-84.6188,-0.00404531
-84.6188,-0.00404531
-84.6188,-0.00404531
-84.6188,-0.00404531
-84.6188,-0.00404531
-84.6188,-0.00404531
-84.6188,-0.00404531
-84.6188,-0.00404531
-84.6188,-0.00404531
-84.6187,-0.00404531
-84.6187,-0.00404531
-84.6187,-0.00404531
-84.6187,-0.00404531
-84.6187,-0.00404531
-84.6187,-0.00404531
-84.6187,-0.00404531
-84.6187,-0.00404531
-84.6187,-0.00404531
-84.6187,-0.00404531
-84.6187,-0.00404531
-84.6187,-0.00404531
-84.6187,-0.00404531
-84.6187,-0.00404531
-84.6186,-0.00404531
-84.6186,-0.00404531
-84.6186,-0.00404531
-84.6186,-0.00404531
-84.6186,-0.00404531
-84.6186,-0.00404531
-84.6186,-0.00404531
-84.6186,-0.00404531
-84.6186,-0.00404531
-84.6186,-0.00404531
-84.6186,-0.00404531
-84.6186,-0.00404531
-84.6186,-0.00404531
-84.6186,-0.00404531
-84.6186,-0.00404531
-84.6185,-0.00404531
-84.6185,-0.00404531
-84.6185,-0.00404531
-84.6185,-0.00404531
-84.6185,-0.00404531
-84.6185,-0.00404531
-84.6185,-0.00404531
-84.6185,-0.00404531
-84.6185,-0.00404531
-84.6185,-0.00404531
-84.6185,-0.00404531
-84.6185,-0.0040453
-84.6185,-0.0040453
-84.6185,-0.0040453
-84.6185,-0.0040453
-84.6185,-0.0040453
-84.6184,-0.0040453
-84.6184,-0.0040453
-84.6184,-0.0040453
-84.6184,-0.0040453
-84.6184,-0.0040453
-84.6184,-0.0040453
-84.6184,-0.0040453
-84.6184,-0.0040453
-84.6184,-0.0040453
-84.6184,-0.0040453
-84.6184,-0.0040453
-84.6184,-0.0040453
-84.6184,-0.0040453
-84.6184,-0.0040453
-84.6184,-0.0040453
-84.6184,-0.0040453
-84.6184,-0.0040453
-84.6183,-0.0040453
-84.6183,-0.0040453
-84.6183,-0.0040453
-84.6183,-0.0040453
-84.6183,-0.0040453
-84.6183,-0.0040453
-84.6183,-0.0040453
-84.6183,-0.0040453
-84.6183,-0.0040453
-84.6183,-0.0040453
-84.6183,-0.0040453
-84.6183,-0.0040453
-84.6183,-0.0040453
-84.6183,-0.0040453
-84.6183,-0.0040453
-84.6183,-0.0040453
-84.6183,-0.0040453
-84.6183,-0.0040453
-84.6182,-0.0040453
-84.6182,-0.0040453
-84.6182,-0.0040453
-84.6182,-0.0040453
-84.6182,-0.0040453
-84.6182,-0.0040453
-84.6182,-0.0040453
-84.6182,-0.0040453
-84.6182,-0.0040453
-84.6182,-0.0040453
-84.6182,-0.0040453
-84.6182,-0.0040453
-84.6182,-0.0040453
-84.6182,-0.0040453
-84.6182,-0.0040453
-84.6182,-0.0040453
-84.6182,-0.0040453
-84.6182,-0.0040453
-84.6182,-0.0040453
-84.6182,-0.0040453
-84.6181,-0.0040453
-84.6181,-0.0040453
-84.6181,-0.0040453
-84.6181,-0.0040453
-84.6181,-0.0040453
-84.6181,-0.0040453
-84.6181,-0.00404529
-84.6181,-0.00404529
-84.6181,-0.00404529
-84.6181,-0.00404529
-84.6181,-0.00404529
-84.6181,-0.00404529
-84.6181,-0.00404529
-84.6181,-0.00404529
-84.6181,-0.00404529
-84.6181,-0.00404529
-84.6181,-0.00404529
-84.6181,-0.00404529
-84.6181,-0.00404529
-84.6181,-0.00404529
-84.6181,-0.00404529
-84.618,-0.00404529
-84.618,-0.00404529
-84.618,-0.00404529
-84.618,-0.00404529
-84.618,-0.00404529
-84.618,-0.00404529
-84.618,-0.00404529
-84.618,-0.00404529
-84.618,-0.00404529
-84.618,-0.00404529
-84.618,-0.00404529
-84.618,-0.00404529
-84.618,-0.00404529
-84.618,-0.00404529
-84.618,-0.00404529
-84.618,-0.00404529
-84.618,-0.00404529
-84.618,-0.00404529
-84.618,-0.00404529
-84.618,-0.00404529
-84.618,-0.00404529
-84.618,-0.00404529
-84.6179,-0.00404529
-84.6179,-0.00404529
-84.6179,-0.00404529
-84.6179,-0.00404529
-84.6179,-0.00404529
-84.6179,-0.00404529
-84.6179,-0.00404529
-84.6179,-0.00404529
-84.6179,-0.00404529
-84.6179,-0.00404529
-84.6179,-0.00404529
-84.6179,-0.00404529
-84.6179,-0.00404529
-84.6179,-0.00404529
-84.6179,-0.00404529
-84.6179,-0.00404529
-84.6179,-0.00404529
-84.6179,-0.00404529
-84.6179,-0.00404529
-84.6179,-0.00404529
-84.6179,-0.00404529
-84.6179,-0.00404529
-84.6179,-0.00404529
-84.6179,-0.00404529
-84.6179,-0.00404529
-84.6179,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404529
-84.6178,-0.00404528
-84.6178,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6177,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
