environment | time (second),solute_concentrations | C_m_Na (mmol_per_cm3)
350,0.0246792
351,0.0246318
352,0.0245845
353,0.0245372
354,0.0244901
355,0.0244431
356,0.0243962
357,0.0243494
358,0.0243027
359,0.0242561
360,0.0242096
361,0.0241633
362,0.024117
363,0.0240708
364,0.0240247
365,0.0239788
366,0.0239329
367,0.0238872
368,0.0238415
369,0.023796
370,0.0237505
371,0.0237052
372,0.0236599
373,0.0236148
374,0.0235697
375,0.0235248
376,0.02348
377,0.0234352
378,0.0233906
379,0.0233461
380,0.0233016
381,0.0232573
382,0.0232131
383,0.0231689
384,0.0231249
385,0.023081
386,0.0230371
387,0.0229934
388,0.0229497
389,0.0229062
390,0.0228628
391,0.0228194
392,0.0227762
393,0.022733
394,0.02269
395,0.022647
396,0.0226041
397,0.0225614
398,0.0225187
399,0.0224762
400,0.0224337
401,0.0223913
402,0.022349
403,0.0223068
404,0.0222647
405,0.0222227
406,0.0221808
407,0.022139
408,0.0220973
409,0.0220557
410,0.0220142
411,0.0219728
412,0.0219314
413,0.0218902
414,0.021849
415,0.021808
416,0.021767
417,0.0217261
418,0.0216853
419,0.0216447
420,0.0216041
421,0.0215636
422,0.0215231
423,0.0214828
424,0.0214426
425,0.0214025
426,0.0213624
427,0.0213224
428,0.0212826
429,0.0212428
430,0.0212031
431,0.0211635
432,0.021124
433,0.0210846
434,0.0210452
435,0.021006
436,0.0209669
437,0.0209278
438,0.0208888
439,0.0208499
440,0.0208111
441,0.0207724
442,0.0207338
443,0.0206952
444,0.0206568
445,0.0206184
446,0.0205802
447,0.020542
448,0.0205039
449,0.0204658
450,0.0204279
451,0.0203901
452,0.0203523
453,0.0203146
454,0.020277
455,0.0202395
456,0.0202021
457,0.0201648
458,0.0201275
459,0.0200903
460,0.0200533
461,0.0200163
462,0.0199793
463,0.0199425
464,0.0199058
465,0.0198691
466,0.0198325
467,0.019796
468,0.0197596
469,0.0197233
470,0.019687
471,0.0196508
472,0.0196148
473,0.0195788
474,0.0195428
475,0.019507
476,0.0194712
477,0.0194355
478,0.0193999
479,0.0193644
480,0.019329
481,0.0192936
482,0.0192583
483,0.0192231
484,0.019188
485,0.019153
486,0.019118
487,0.0190831
488,0.0190483
489,0.0190136
490,0.018979
491,0.0189444
492,0.0189099
493,0.0188755
494,0.0188412
495,0.0188069
496,0.0187727
497,0.0187386
498,0.0187046
499,0.0186707
500,0.0186368
501,0.018603
502,0.0185693
503,0.0185357
504,0.0185021
505,0.0184686
506,0.0184352
507,0.0184019
508,0.0183686
509,0.0183354
510,0.0183023
511,0.0182693
512,0.0182363
513,0.0182035
514,0.0181707
515,0.0181379
516,0.0181053
517,0.0180727
518,0.0180402
519,0.0180077
520,0.0179754
521,0.0179431
522,0.0179109
523,0.0178787
524,0.0178466
525,0.0178146
526,0.0177827
527,0.0177509
528,0.0177191
529,0.0176874
530,0.0176557
531,0.0176242
532,0.0175927
533,0.0175613
534,0.0175299
535,0.0174986
536,0.0174674
537,0.0174363
538,0.0174052
539,0.0173742
540,0.0173433
541,0.0173125
542,0.0172817
543,0.017251
544,0.0172203
545,0.0171898
546,0.0171592
547,0.0171288
548,0.0170984
549,0.0170681
550,0.0170379
551,0.0170078
552,0.0169777
553,0.0169476
554,0.0169177
555,0.0168878
556,0.016858
557,0.0168282
558,0.0167986
559,0.0167689
560,0.0167394
561,0.0167099
562,0.0166805
563,0.0166512
564,0.0166219
565,0.0165927
566,0.0165635
567,0.0165344
568,0.0165054
569,0.0164765
570,0.0164476
571,0.0164188
572,0.01639
573,0.0163613
574,0.0163327
575,0.0163042
576,0.0162757
577,0.0162473
578,0.0162189
579,0.0161906
580,0.0161624
581,0.0161342
582,0.0161061
583,0.0160781
584,0.0160501
585,0.0160222
586,0.0159943
587,0.0159666
588,0.0159388
589,0.0159112
590,0.0158836
591,0.0158561
592,0.0158286
593,0.0158012
594,0.0157738
595,0.0157466
596,0.0157193
597,0.0156922
598,0.0156651
599,0.0156381
600,0.0156111
601,0.0155842
602,0.0155573
603,0.0155305
604,0.0155038
605,0.0154772
606,0.0154506
607,0.015424
608,0.0153975
609,0.0153711
610,0.0153447
611,0.0153184
612,0.0152922
613,0.015266
614,0.0152399
615,0.0152138
616,0.0151878
617,0.0151619
618,0.015136
619,0.0151102
620,0.0150844
621,0.0150587
622,0.0150331
623,0.0150075
624,0.0149819
625,0.0149565
626,0.0149311
627,0.0149057
628,0.0148804
629,0.0148552
630,0.01483
631,0.0148049
632,0.0147798
633,0.0147548
634,0.0147298
635,0.0147049
636,0.0146801
637,0.0146553
638,0.0146306
639,0.0146059
640,0.0145813
641,0.0145567
642,0.0145322
643,0.0145078
644,0.0144834
645,0.0144591
646,0.0144348
647,0.0144106
648,0.0143864
649,0.0143623
650,0.0143382
651,0.0143142
652,0.0142903
653,0.0142664
654,0.0142426
655,0.0142188
656,0.0141951
657,0.0141714
658,0.0141478
659,0.0141242
660,0.0141007
661,0.0140772
662,0.0140538
663,0.0140305
664,0.0140072
665,0.0139839
666,0.0139607
667,0.0139376
668,0.0139145
669,0.0138915
670,0.0138685
671,0.0138456
672,0.0138227
673,0.0137999
674,0.0137771
675,0.0137544
676,0.0137317
677,0.0137091
678,0.0136866
679,0.0136641
680,0.0136416
681,0.0136192
682,0.0135969
683,0.0135745
684,0.0135523
685,0.0135301
686,0.0135079
687,0.0134858
688,0.0134638
689,0.0134418
690,0.0134199
691,0.013398
692,0.0133761
693,0.0133543
694,0.0133326
695,0.0133109
696,0.0132892
697,0.0132676
698,0.0132461
699,0.0132246
700,0.0132031
701,0.0131817
702,0.0131604
703,0.0131391
704,0.0131178
705,0.0130966
706,0.0130755
707,0.0130544
708,0.0130333
709,0.0130123
710,0.0129913
711,0.0129704
712,0.0129496
713,0.0129287
714,0.012908
715,0.0128873
716,0.0128666
717,0.012846
718,0.0128254
719,0.0128048
720,0.0127844
721,0.0127639
722,0.0127435
723,0.0127232
724,0.0127029
725,0.0126826
726,0.0126624
727,0.0126423
728,0.0126222
729,0.0126021
730,0.0125821
731,0.0125621
732,0.0125422
733,0.0125223
734,0.0125025
735,0.0124827
736,0.0124629
737,0.0124432
738,0.0124236
739,0.012404
740,0.0123844
741,0.0123649
742,0.0123454
743,0.012326
744,0.0123066
745,0.0122873
746,0.012268
747,0.0122487
748,0.0122295
749,0.0122104
750,0.0121912
751,0.0121722
752,0.0121531
753,0.0121342
754,0.0121152
755,0.0120963
756,0.0120775
757,0.0120587
758,0.0120399
759,0.0120212
760,0.0120025
761,0.0119838
762,0.0119652
763,0.0119467
764,0.0119282
765,0.0119097
766,0.0118913
767,0.0118729
768,0.0118546
769,0.0118363
770,0.011818
771,0.0117998
772,0.0117816
773,0.0117635
774,0.0117454
775,0.0117274
776,0.0117094
777,0.0116914
778,0.0116735
779,0.0116556
780,0.0116378
781,0.01162
782,0.0116022
783,0.0115845
784,0.0115668
785,0.0115492
786,0.0115316
787,0.011514
788,0.0114965
789,0.0114791
790,0.0114616
791,0.0114442
792,0.0114269
793,0.0114096
794,0.0113923
795,0.0113751
796,0.0113579
797,0.0113407
798,0.0113236
799,0.0113065
800,0.0112895
801,0.0112725
802,0.0112556
803,0.0112386
804,0.0112218
805,0.0112049
806,0.0111881
807,0.0111714
808,0.0111547
809,0.011138
810,0.0111213
811,0.0111047
812,0.0110882
813,0.0110716
814,0.0110551
815,0.0110387
816,0.0110223
817,0.0110059
818,0.0109896
819,0.0109733
820,0.010957
821,0.0109408
822,0.0109246
823,0.0109084
824,0.0108923
825,0.0108762
826,0.0108602
827,0.0108442
828,0.0108282
829,0.0108123
830,0.0107964
831,0.0107806
832,0.0107648
833,0.010749
834,0.0107332
835,0.0107175
836,0.0107018
837,0.0106862
838,0.0106706
839,0.0106551
840,0.0106395
841,0.010624
842,0.0106086
843,0.0105932
844,0.0105778
845,0.0105624
846,0.0105471
847,0.0105318
848,0.0105166
849,0.0105014
850,0.0104862
851,0.0104711
852,0.010456
853,0.0104409
854,0.0104259
855,0.0104109
856,0.0103959
857,0.010381
858,0.0103661
859,0.0103513
860,0.0103364
861,0.0103217
862,0.0103069
863,0.0102922
864,0.0102775
865,0.0102628
866,0.0102482
867,0.0102336
868,0.0102191
869,0.0102046
870,0.0101901
871,0.0101756
872,0.0101612
873,0.0101468
874,0.0101325
875,0.0101182
876,0.0101039
877,0.0100897
878,0.0100754
879,0.0100613
880,0.0100471
881,0.010033
882,0.0100189
883,0.0100049
884,0.00999083
885,0.00997685
886,0.00996289
887,0.00994897
888,0.00993508
889,0.00992123
890,0.0099074
891,0.00989361
892,0.00987985
893,0.00986612
894,0.00985242
895,0.00983876
896,0.00982513
897,0.00981152
898,0.00979796
899,0.00978442
900,0.00977091
901,0.00975744
902,0.00974399
903,0.00973058
904,0.0097172
905,0.00970385
906,0.00969053
907,0.00967724
908,0.00966398
909,0.00965075
910,0.00963756
911,0.00962439
912,0.00961126
913,0.00959815
914,0.00958508
915,0.00957204
916,0.00955902
917,0.00954604
918,0.00953309
919,0.00952017
920,0.00950728
921,0.00949441
922,0.00948158
923,0.00946878
924,0.00945601
925,0.00944326
926,0.00943055
927,0.00941787
928,0.00940521
929,0.00939259
930,0.00937999
931,0.00936743
932,0.00935489
933,0.00934238
934,0.00932991
935,0.00931746
936,0.00930504
937,0.00929265
938,0.00928028
939,0.00926795
940,0.00925564
941,0.00924337
942,0.00923112
943,0.0092189
944,0.00920671
945,0.00919455
946,0.00918242
947,0.00917031
948,0.00915823
949,0.00914618
950,0.00913416
951,0.00912217
952,0.00911021
953,0.00909827
954,0.00908636
955,0.00907448
956,0.00906262
957,0.0090508
958,0.009039
959,0.00902723
960,0.00901549
961,0.00900377
962,0.00899208
963,0.00898042
964,0.00896879
965,0.00895718
966,0.0089456
967,0.00893405
968,0.00892252
969,0.00891102
970,0.00889955
971,0.0088881
972,0.00887668
973,0.00886529
974,0.00885393
975,0.00884259
976,0.00883128
977,0.00881999
978,0.00880873
979,0.0087975
980,0.00878629
981,0.00877511
982,0.00876395
983,0.00875283
984,0.00874172
985,0.00873065
986,0.0087196
987,0.00870857
988,0.00869757
989,0.0086866
990,0.00867565
991,0.00866473
992,0.00865383
993,0.00864296
994,0.00863211
995,0.00862129
996,0.0086105
997,0.00859973
998,0.00858898
999,0.00857826
1000,0.00856757
