fast_sodium_current | i_Na (picoA_per_picoF),membrane | V (millivolt)
-9.978e-19,17.8166
-9.94625e-19,17.8213
-9.9146e-19,17.826
-9.88304e-19,17.8308
-9.85161e-19,17.8355
-9.82032e-19,17.8402
-9.7892e-19,17.8449
-9.75827e-19,17.8497
-9.72754e-19,17.8544
-9.69706e-19,17.8591
-9.66685e-19,17.8638
-9.63693e-19,17.8685
-9.60734e-19,17.8732
-9.57812e-19,17.878
-9.54929e-19,17.8827
-9.5209e-19,17.8874
-9.49299e-19,17.8921
-9.46559e-19,17.8968
-9.43876e-19,17.9015
-9.41253e-19,17.9062
-9.38695e-19,17.9109
-9.36208e-19,17.9155
-9.33797e-19,17.9202
-9.31466e-19,17.9249
-9.29223e-19,17.9296
-9.27072e-19,17.9343
-9.24971e-19,17.939
-9.22356e-19,17.9436
-9.19755e-19,17.9483
-9.1717e-19,17.953
-9.146e-19,17.9577
-9.12045e-19,17.9623
-9.09507e-19,17.967
-9.06984e-19,17.9717
-9.04477e-19,17.9763
-9.01986e-19,17.981
-8.99511e-19,17.9856
-8.97053e-19,17.9903
-8.94612e-19,17.9949
-8.92188e-19,17.9996
-8.89781e-19,18.0042
-8.87391e-19,18.0089
-8.85019e-19,18.0135
-8.82666e-19,18.0182
-8.80331e-19,18.0228
-8.78015e-19,18.0274
-8.75718e-19,18.0321
-8.73441e-19,18.0367
-8.71184e-19,18.0413
-8.68947e-19,18.046
-8.66732e-19,18.0506
-8.64539e-19,18.0552
-8.62368e-19,18.0598
-8.6022e-19,18.0644
-8.58096e-19,18.0691
-8.55928e-19,18.0737
-8.53763e-19,18.0783
-8.51612e-19,18.0829
-8.49475e-19,18.0875
-8.47351e-19,18.0921
-8.4524e-19,18.0967
-8.43142e-19,18.1013
-8.41058e-19,18.1059
-8.38987e-19,18.1105
-8.36929e-19,18.1151
-8.34885e-19,18.1197
-8.32853e-19,18.1242
-8.30835e-19,18.1288
-8.2883e-19,18.1334
-8.26838e-19,18.138
-8.2486e-19,18.1426
-8.22895e-19,18.1471
-8.20943e-19,18.1517
-8.19004e-19,18.1563
-8.17079e-19,18.1609
-8.15168e-19,18.1654
-8.1327e-19,18.17
-8.11386e-19,18.1745
-8.09516e-19,18.1791
-8.0766e-19,18.1837
-8.05819e-19,18.1882
-8.03991e-19,18.1928
-8.02178e-19,18.1973
-8.00349e-19,18.2019
-7.9851e-19,18.2064
-7.9668e-19,18.2109
-7.94856e-19,18.2155
-7.93039e-19,18.22
-7.91229e-19,18.2246
-7.89426e-19,18.2291
-7.87628e-19,18.2336
-7.85836e-19,18.2382
-7.84049e-19,18.2427
-7.82267e-19,18.2472
-7.8049e-19,18.2517
-7.78717e-19,18.2562
-7.76949e-19,18.2608
-7.75184e-19,18.2653
-7.73422e-19,18.2698
-7.71664e-19,18.2743
-7.69908e-19,18.2788
-7.68154e-19,18.2833
-7.66402e-19,18.2878
-7.64652e-19,18.2923
-7.62903e-19,18.2968
-7.61155e-19,18.3013
-7.59408e-19,18.3058
-7.5766e-19,18.3103
-7.55913e-19,18.3148
-7.54164e-19,18.3193
-7.52415e-19,18.3238
-7.50677e-19,18.3282
-7.48957e-19,18.3327
-7.47239e-19,18.3372
-7.45524e-19,18.3417
-7.43811e-19,18.3461
-7.421e-19,18.3506
-7.40392e-19,18.3551
-7.38685e-19,18.3595
-7.36981e-19,18.364
-7.35279e-19,18.3685
-7.33578e-19,18.3729
-7.3188e-19,18.3774
-7.30184e-19,18.3818
-7.2849e-19,18.3863
-7.26798e-19,18.3907
-7.25109e-19,18.3952
-7.23421e-19,18.3996
-7.21736e-19,18.4041
-7.20053e-19,18.4085
-7.18373e-19,18.4129
-7.16695e-19,18.4174
-7.1502e-19,18.4218
-7.13348e-19,18.4262
-7.11679e-19,18.4307
-7.10012e-19,18.4351
-7.08349e-19,18.4395
-7.0669e-19,18.4439
-7.05034e-19,18.4484
-7.03378e-19,18.4528
-7.01712e-19,18.4572
-7.00048e-19,18.4616
-6.98385e-19,18.466
-6.96724e-19,18.4704
-6.95066e-19,18.4748
-6.93409e-19,18.4792
-6.91754e-19,18.4836
-6.90101e-19,18.488
-6.88451e-19,18.4924
-6.86803e-19,18.4968
-6.85157e-19,18.5012
-6.83514e-19,18.5056
-6.81874e-19,18.51
-6.80236e-19,18.5144
-6.78601e-19,18.5187
-6.7697e-19,18.5231
-6.75342e-19,18.5275
-6.73717e-19,18.5319
-6.72096e-19,18.5362
-6.70479e-19,18.5406
-6.68865e-19,18.545
-6.67256e-19,18.5493
-6.65652e-19,18.5537
-6.64051e-19,18.5581
-6.62456e-19,18.5624
-6.60866e-19,18.5668
-6.59281e-19,18.5711
-6.57702e-19,18.5755
-6.56109e-19,18.5798
-6.5452e-19,18.5842
-6.52934e-19,18.5885
-6.51352e-19,18.5929
-6.49773e-19,18.5972
-6.48198e-19,18.6015
-6.46626e-19,18.6059
-6.45059e-19,18.6102
-6.43495e-19,18.6145
-6.41935e-19,18.6189
-6.40379e-19,18.6232
-6.38827e-19,18.6275
-6.3728e-19,18.6318
-6.35736e-19,18.6362
-6.34198e-19,18.6405
-6.32663e-19,18.6448
-6.31133e-19,18.6491
-6.29608e-19,18.6534
-6.28087e-19,18.6577
-6.26572e-19,18.662
-6.25061e-19,18.6663
-6.23555e-19,18.6706
-6.22054e-19,18.6749
-6.20559e-19,18.6792
-6.19069e-19,18.6835
-6.17584e-19,18.6878
-6.16104e-19,18.6921
-6.14631e-19,18.6964
-6.13156e-19,18.7007
-6.11683e-19,18.7049
-6.10215e-19,18.7092
-6.08752e-19,18.7135
-6.07292e-19,18.7178
-6.05838e-19,18.722
-6.04388e-19,18.7263
-6.02942e-19,18.7306
-6.015e-19,18.7348
-6.00063e-19,18.7391
-5.98631e-19,18.7434
-5.97202e-19,18.7476
-5.95778e-19,18.7519
-5.94358e-19,18.7561
-5.92943e-19,18.7604
-5.91531e-19,18.7646
-5.90124e-19,18.7689
-5.88721e-19,18.7731
-5.87322e-19,18.7773
-5.85926e-19,18.7816
-5.84535e-19,18.7858
-5.83147e-19,18.7901
-5.81763e-19,18.7943
-5.80383e-19,18.7985
-5.79006e-19,18.8027
-5.77633e-19,18.807
-5.76263e-19,18.8112
-5.74896e-19,18.8154
-5.73541e-19,18.8196
-5.72197e-19,18.8238
-5.70858e-19,18.828
-5.69524e-19,18.8323
-5.68195e-19,18.8365
-5.6687e-19,18.8407
-5.6555e-19,18.8449
-5.64235e-19,18.8491
-5.62925e-19,18.8533
-5.61619e-19,18.8575
-5.60317e-19,18.8617
-5.5902e-19,18.8659
-5.57728e-19,18.87
-5.56439e-19,18.8742
-5.55155e-19,18.8784
-5.53875e-19,18.8826
-5.526e-19,18.8868
-5.51328e-19,18.891
-5.50059e-19,18.8951
-5.48795e-19,18.8993
-5.47534e-19,18.9035
-5.46277e-19,18.9076
-5.45023e-19,18.9118
-5.43772e-19,18.916
-5.42524e-19,18.9201
-5.41279e-19,18.9243
-5.40037e-19,18.9284
-5.38798e-19,18.9326
-5.37561e-19,18.9368
-5.36326e-19,18.9409
-5.35094e-19,18.945
-5.33863e-19,18.9492
-5.32634e-19,18.9533
-5.31407e-19,18.9575
-5.3018e-19,18.9616
-5.28955e-19,18.9657
-5.27731e-19,18.9699
-5.26508e-19,18.974
-5.25285e-19,18.9781
-5.24062e-19,18.9823
-5.22839e-19,18.9864
-5.21616e-19,18.9905
-5.20392e-19,18.9946
-5.19167e-19,18.9987
-5.17943e-19,19.0029
-5.16778e-19,19.007
-5.15617e-19,19.0111
-5.1446e-19,19.0152
-5.13307e-19,19.0193
-5.12158e-19,19.0234
-5.11013e-19,19.0275
-5.09872e-19,19.0316
-5.08734e-19,19.0357
-5.07601e-19,19.0398
-5.06471e-19,19.0439
-5.05345e-19,19.048
-5.04223e-19,19.052
-5.03104e-19,19.0561
-5.01988e-19,19.0602
-5.00876e-19,19.0643
-4.99767e-19,19.0684
-4.98661e-19,19.0724
-4.97559e-19,19.0765
-4.96459e-19,19.0806
-4.95363e-19,19.0846
-4.94269e-19,19.0887
-4.93178e-19,19.0928
-4.9209e-19,19.0968
-4.91004e-19,19.1009
-4.89921e-19,19.1049
-4.8884e-19,19.109
-4.87761e-19,19.113
-4.86684e-19,19.1171
-4.85609e-19,19.1211
-4.84537e-19,19.1252
-4.83465e-19,19.1292
-4.82396e-19,19.1333
-4.81327e-19,19.1373
-4.8026e-19,19.1413
-4.79195e-19,19.1454
-4.7813e-19,19.1494
-4.77066e-19,19.1534
-4.76002e-19,19.1574
-4.74939e-19,19.1615
-4.73877e-19,19.1655
-4.72814e-19,19.1695
-4.71752e-19,19.1735
-4.70689e-19,19.1775
-4.69626e-19,19.1815
-4.6858e-19,19.1855
-4.67552e-19,19.1895
-4.66527e-19,19.1935
-4.65504e-19,19.1975
-4.64483e-19,19.2015
-4.63464e-19,19.2055
-4.62448e-19,19.2095
-4.61433e-19,19.2135
-4.6042e-19,19.2175
-4.59409e-19,19.2215
-4.584e-19,19.2255
-4.57392e-19,19.2295
-4.56387e-19,19.2334
-4.55382e-19,19.2374
-4.5438e-19,19.2414
-4.53378e-19,19.2454
-4.52378e-19,19.2493
-4.51379e-19,19.2533
-4.50382e-19,19.2573
-4.49385e-19,19.2612
-4.48389e-19,19.2652
-4.47395e-19,19.2691
-4.46401e-19,19.2731
-4.45407e-19,19.2771
-4.44415e-19,19.281
-4.43423e-19,19.285
-4.42431e-19,19.2889
-4.4144e-19,19.2928
-4.40449e-19,19.2968
-4.39458e-19,19.3007
-4.38467e-19,19.3047
-4.37476e-19,19.3086
-4.36485e-19,19.3125
-4.35493e-19,19.3165
-4.34501e-19,19.3204
-4.33509e-19,19.3243
-4.32516e-19,19.3282
-4.31522e-19,19.3321
-4.30527e-19,19.3361
-4.29531e-19,19.34
-4.28534e-19,19.3439
-4.27536e-19,19.3478
-4.26537e-19,19.3517
-4.25536e-19,19.3556
-4.24533e-19,19.3595
-4.23569e-19,19.3634
-4.22607e-19,19.3673
-4.21647e-19,19.3712
-4.20688e-19,19.3751
-4.19732e-19,19.379
-4.18777e-19,19.3829
-4.17824e-19,19.3868
-4.16873e-19,19.3907
-4.15925e-19,19.3945
-4.14978e-19,19.3984
-4.14033e-19,19.4023
-4.13091e-19,19.4062
-4.1215e-19,19.41
-4.11212e-19,19.4139
-4.10277e-19,19.4178
-4.09343e-19,19.4216
-4.08412e-19,19.4255
-4.07483e-19,19.4294
-4.06557e-19,19.4332
-4.05634e-19,19.4371
-4.04713e-19,19.4409
-4.03795e-19,19.4448
-4.02879e-19,19.4486
-4.01966e-19,19.4525
-4.01057e-19,19.4563
-4.0015e-19,19.4602
-3.99246e-19,19.464
-3.98345e-19,19.4678
-3.97448e-19,19.4717
-3.96554e-19,19.4755
-3.95663e-19,19.4793
-3.94775e-19,19.4832
-3.93891e-19,19.487
-3.93011e-19,19.4908
-3.92134e-19,19.4946
-3.91261e-19,19.4984
-3.90392e-19,19.5023
-3.89527e-19,19.5061
-3.88666e-19,19.5099
-3.87809e-19,19.5137
-3.86956e-19,19.5175
-3.86108e-19,19.5213
-3.85264e-19,19.5251
-3.84425e-19,19.5289
-3.83576e-19,19.5327
-3.82716e-19,19.5365
-3.81857e-19,19.5403
-3.81e-19,19.5441
-3.80146e-19,19.5479
-3.79294e-19,19.5516
-3.78444e-19,19.5554
-3.77596e-19,19.5592
-3.7675e-19,19.563
-3.75906e-19,19.5668
-3.75064e-19,19.5705
-3.74225e-19,19.5743
-3.73387e-19,19.5781
-3.72552e-19,19.5818
-3.71718e-19,19.5856
-3.70887e-19,19.5893
-3.70058e-19,19.5931
-3.6923e-19,19.5969
-3.68405e-19,19.6006
-3.67582e-19,19.6044
-3.66761e-19,19.6081
-3.65942e-19,19.6119
-3.65124e-19,19.6156
-3.64309e-19,19.6193
-3.63496e-19,19.6231
-3.62685e-19,19.6268
-3.61875e-19,19.6305
-3.61068e-19,19.6343
-3.60262e-19,19.638
-3.59458e-19,19.6417
-3.58656e-19,19.6455
-3.57856e-19,19.6492
-3.57058e-19,19.6529
-3.56261e-19,19.6566
-3.55466e-19,19.6603
-3.54673e-19,19.664
-3.53882e-19,19.6678
-3.53092e-19,19.6715
-3.52304e-19,19.6752
-3.51518e-19,19.6789
-3.50733e-19,19.6826
-3.4995e-19,19.6863
-3.49169e-19,19.69
-3.48389e-19,19.6937
-3.4761e-19,19.6973
-3.4685e-19,19.701
-3.46092e-19,19.7047
-3.45338e-19,19.7084
-3.44586e-19,19.7121
-3.43837e-19,19.7158
-3.43091e-19,19.7194
-3.42347e-19,19.7231
-3.41607e-19,19.7268
-3.40869e-19,19.7304
-3.40134e-19,19.7341
-3.39401e-19,19.7378
-3.38672e-19,19.7414
-3.37945e-19,19.7451
-3.37221e-19,19.7488
-3.365e-19,19.7524
-3.35782e-19,19.7561
-3.35067e-19,19.7597
-3.34354e-19,19.7634
-3.33644e-19,19.767
-3.32937e-19,19.7706
-3.32233e-19,19.7743
-3.31532e-19,19.7779
-3.30833e-19,19.7816
-3.30138e-19,19.7852
-3.29445e-19,19.7888
-3.28755e-19,19.7924
-3.28067e-19,19.7961
-3.27382e-19,19.7997
-3.26701e-19,19.8033
-3.26021e-19,19.8069
-3.25345e-19,19.8106
-3.24671e-19,19.8142
-3.24e-19,19.8178
-3.23332e-19,19.8214
-3.22666e-19,19.825
-3.22003e-19,19.8286
-3.21343e-19,19.8322
-3.20685e-19,19.8358
-3.2003e-19,19.8394
-3.19378e-19,19.843
-3.18728e-19,19.8466
-3.1808e-19,19.8502
-3.17435e-19,19.8538
-3.16793e-19,19.8573
-3.16153e-19,19.8609
-3.15516e-19,19.8645
-3.14881e-19,19.8681
-3.14248e-19,19.8716
-3.13618e-19,19.8752
-3.1299e-19,19.8788
-3.12364e-19,19.8824
-3.11741e-19,19.8859
-3.1112e-19,19.8895
-3.10501e-19,19.893
-3.09884e-19,19.8966
-3.0927e-19,19.9002
-3.08657e-19,19.9037
-3.08047e-19,19.9073
-3.07438e-19,19.9108
-3.06832e-19,19.9144
-3.06227e-19,19.9179
-3.05624e-19,19.9214
-3.05024e-19,19.925
-3.04425e-19,19.9285
-3.03827e-19,19.932
-3.03232e-19,19.9356
-3.02638e-19,19.9391
-3.02046e-19,19.9426
-3.01455e-19,19.9462
-3.00865e-19,19.9497
-3.00278e-19,19.9532
-2.99691e-19,19.9567
-2.99122e-19,19.9602
-2.98557e-19,19.9637
-2.97993e-19,19.9673
-2.97432e-19,19.9708
-2.96874e-19,19.9743
-2.96317e-19,19.9778
-2.95762e-19,19.9813
-2.9521e-19,19.9848
-2.94659e-19,19.9883
-2.9411e-19,19.9917
-2.93564e-19,19.9952
-2.93019e-19,19.9987
-2.92476e-19,20.0022
-2.91935e-19,20.0057
-2.91396e-19,20.0092
-2.90859e-19,20.0127
-2.90323e-19,20.0161
-2.89789e-19,20.0196
-2.89256e-19,20.0231
-2.88725e-19,20.0265
-2.88195e-19,20.03
-2.87667e-19,20.0335
-2.8714e-19,20.0369
-2.86615e-19,20.0404
-2.86091e-19,20.0438
-2.85568e-19,20.0473
-2.85046e-19,20.0507
-2.84525e-19,20.0542
-2.84005e-19,20.0576
-2.83486e-19,20.0611
-2.82969e-19,20.0645
-2.82452e-19,20.068
-2.81935e-19,20.0714
-2.8142e-19,20.0748
-2.80905e-19,20.0783
-2.80391e-19,20.0817
-2.79877e-19,20.0851
-2.79363e-19,20.0885
-2.7885e-19,20.092
-2.78338e-19,20.0954
-2.77825e-19,20.0988
-2.77313e-19,20.1022
-2.76801e-19,20.1056
-2.76288e-19,20.109
-2.75776e-19,20.1124
-2.75263e-19,20.1159
-2.7475e-19,20.1193
-2.74237e-19,20.1227
-2.73723e-19,20.1261
-2.73209e-19,20.1294
-2.72694e-19,20.1328
-2.72179e-19,20.1362
-2.71662e-19,20.1396
-2.71145e-19,20.143
-2.70627e-19,20.1464
-2.70108e-19,20.1498
-2.69587e-19,20.1531
-2.69065e-19,20.1565
-2.68542e-19,20.1599
-2.68018e-19,20.1633
-2.67492e-19,20.1666
-2.66964e-19,20.17
-2.66434e-19,20.1734
-2.65903e-19,20.1767
-2.6537e-19,20.1801
-2.64834e-19,20.1834
-2.64296e-19,20.1868
-2.63756e-19,20.1901
-2.63214e-19,20.1935
-2.62669e-19,20.1968
-2.62121e-19,20.2002
-2.61571e-19,20.2035
-2.61088e-19,20.2069
-2.60616e-19,20.2102
-2.60144e-19,20.2135
-2.59675e-19,20.2169
-2.59206e-19,20.2202
-2.58739e-19,20.2235
-2.58274e-19,20.2268
-2.5781e-19,20.2302
-2.57347e-19,20.2335
-2.56886e-19,20.2368
-2.56426e-19,20.2401
-2.55968e-19,20.2434
-2.55511e-19,20.2467
-2.55055e-19,20.25
-2.54601e-19,20.2534
-2.54149e-19,20.2567
-2.53698e-19,20.26
-2.53248e-19,20.2633
-2.528e-19,20.2665
-2.52353e-19,20.2698
-2.51908e-19,20.2731
-2.51464e-19,20.2764
-2.51021e-19,20.2797
-2.5058e-19,20.283
-2.50141e-19,20.2863
-2.49703e-19,20.2895
-2.49267e-19,20.2928
-2.48832e-19,20.2961
-2.48398e-19,20.2994
-2.47966e-19,20.3026
-2.47535e-19,20.3059
-2.47106e-19,20.3092
-2.46679e-19,20.3124
-2.46253e-19,20.3157
-2.45828e-19,20.3189
-2.45405e-19,20.3222
-2.44983e-19,20.3254
-2.44563e-19,20.3287
-2.44145e-19,20.3319
-2.43728e-19,20.3352
-2.43313e-19,20.3384
-2.42899e-19,20.3417
-2.42486e-19,20.3449
-2.42076e-19,20.3481
-2.41666e-19,20.3514
-2.41259e-19,20.3546
-2.40853e-19,20.3578
-2.40448e-19,20.361
-2.40045e-19,20.3643
-2.39644e-19,20.3675
-2.39244e-19,20.3707
-2.38846e-19,20.3739
-2.3845e-19,20.3771
-2.38055e-19,20.3803
-2.37662e-19,20.3835
-2.3727e-19,20.3867
-2.3688e-19,20.3899
-2.36492e-19,20.3931
-2.36106e-19,20.3963
-2.35721e-19,20.3995
-2.35338e-19,20.4027
-2.34956e-19,20.4059
-2.34577e-19,20.4091
-2.34199e-19,20.4123
-2.33822e-19,20.4155
-2.33448e-19,20.4187
-2.33075e-19,20.4218
-2.32704e-19,20.425
-2.32335e-19,20.4282
-2.31967e-19,20.4313
-2.31601e-19,20.4345
-2.31238e-19,20.4377
-2.30853e-19,20.4408
-2.30465e-19,20.444
-2.30077e-19,20.4472
-2.2969e-19,20.4503
-2.29303e-19,20.4535
-2.28916e-19,20.4566
-2.2853e-19,20.4598
-2.28143e-19,20.4629
-2.27757e-19,20.4661
-2.27371e-19,20.4692
-2.26985e-19,20.4723
-2.26599e-19,20.4755
-2.26213e-19,20.4786
-2.25827e-19,20.4817
-2.25441e-19,20.4849
-2.25055e-19,20.488
-2.24669e-19,20.4911
-2.24283e-19,20.4942
-2.23896e-19,20.4974
-2.2351e-19,20.5005
-2.23123e-19,20.5036
-2.22736e-19,20.5067
-2.22348e-19,20.5098
-2.2196e-19,20.5129
-2.21572e-19,20.516
-2.21184e-19,20.5191
-2.20795e-19,20.5222
-2.20405e-19,20.5253
-2.20015e-19,20.5284
-2.19624e-19,20.5315
-2.19233e-19,20.5346
-2.18841e-19,20.5377
-2.18448e-19,20.5408
-2.18055e-19,20.5438
-2.17661e-19,20.5469
-2.17266e-19,20.55
-2.16871e-19,20.5531
-2.16474e-19,20.5561
-2.16076e-19,20.5592
-2.15678e-19,20.5623
-2.15278e-19,20.5653
-2.14878e-19,20.5684
-2.14476e-19,20.5715
-2.14073e-19,20.5745
-2.13669e-19,20.5776
-2.13264e-19,20.5806
-2.12857e-19,20.5837
-2.12449e-19,20.5867
-2.1204e-19,20.5898
-2.1163e-19,20.5928
-2.11217e-19,20.5959
-2.10804e-19,20.5989
-2.10389e-19,20.6019
-2.09972e-19,20.605
-2.09553e-19,20.608
-2.09133e-19,20.611
-2.08711e-19,20.614
-2.08288e-19,20.6171
-2.07862e-19,20.6201
-2.07435e-19,20.6231
-2.07005e-19,20.6261
-2.06574e-19,20.6291
-2.0614e-19,20.6321
-2.05704e-19,20.6351
-2.05267e-19,20.6382
-2.04827e-19,20.6412
-2.04384e-19,20.6442
-2.0394e-19,20.6472
-2.03493e-19,20.6501
-2.03043e-19,20.6531
-2.02591e-19,20.6561
-2.02137e-19,20.6591
-2.0173e-19,20.6621
-2.01333e-19,20.6651
-2.00938e-19,20.6681
-2.00543e-19,20.671
-2.0015e-19,20.674
-1.99757e-19,20.677
-1.99365e-19,20.68
-1.98974e-19,20.6829
-1.98584e-19,20.6859
-1.98195e-19,20.6889
-1.97807e-19,20.6918
-1.9742e-19,20.6948
-1.97035e-19,20.6977
-1.9665e-19,20.7007
-1.96267e-19,20.7036
-1.95885e-19,20.7066
-1.95505e-19,20.7095
-1.95126e-19,20.7125
-1.94748e-19,20.7154
-1.94372e-19,20.7184
-1.93997e-19,20.7213
-1.93624e-19,20.7242
-1.93252e-19,20.7272
-1.92883e-19,20.7301
-1.92515e-19,20.733
-1.92149e-19,20.736
-1.91784e-19,20.7389
-1.91422e-19,20.7418
-1.91061e-19,20.7447
-1.90703e-19,20.7476
-1.90346e-19,20.7505
-1.89992e-19,20.7534
-1.8964e-19,20.7564
-1.89291e-19,20.7593
-1.88943e-19,20.7622
-1.88598e-19,20.7651
-1.88256e-19,20.768
-1.87916e-19,20.7709
-1.87578e-19,20.7737
-1.87243e-19,20.7766
-1.86911e-19,20.7795
-1.86582e-19,20.7824
-1.86256e-19,20.7853
-1.85933e-19,20.7882
-1.85612e-19,20.791
-1.85295e-19,20.7939
-1.84981e-19,20.7968
-1.8467e-19,20.7997
-1.84362e-19,20.8025
-1.84058e-19,20.8054
-1.83757e-19,20.8083
-1.8346e-19,20.8111
-1.83167e-19,20.814
-1.82877e-19,20.8168
-1.82591e-19,20.8197
-1.82309e-19,20.8225
-1.8203e-19,20.8254
-1.81756e-19,20.8282
-1.81486e-19,20.8311
-1.81221e-19,20.8339
-1.80959e-19,20.8368
-1.80702e-19,20.8396
-1.80449e-19,20.8424
-1.80201e-19,20.8453
-1.79958e-19,20.8481
-1.79719e-19,20.8509
-1.79486e-19,20.8537
-1.79257e-19,20.8566
-1.79033e-19,20.8594
-1.78814e-19,20.8622
-1.78601e-19,20.865
-1.78393e-19,20.8678
-1.7812e-19,20.8706
-1.7783e-19,20.8734
-1.7754e-19,20.8762
-1.7725e-19,20.879
-1.76961e-19,20.8818
-1.76672e-19,20.8846
-1.76383e-19,20.8874
-1.76095e-19,20.8902
-1.75807e-19,20.893
-1.7552e-19,20.8958
-1.75232e-19,20.8986
-1.74945e-19,20.9014
-1.74658e-19,20.9041
-1.74371e-19,20.9069
-1.74084e-19,20.9097
-1.73797e-19,20.9125
-1.7351e-19,20.9152
-1.73222e-19,20.918
-1.72935e-19,20.9208
-1.72647e-19,20.9235
-1.72359e-19,20.9263
-1.72071e-19,20.929
-1.71783e-19,20.9318
-1.71494e-19,20.9345
-1.71204e-19,20.9373
-1.70914e-19,20.94
-1.70623e-19,20.9428
-1.70332e-19,20.9455
-1.7004e-19,20.9483
-1.69747e-19,20.951
-1.69454e-19,20.9537
-1.6916e-19,20.9565
-1.68864e-19,20.9592
-1.68568e-19,20.9619
-1.6827e-19,20.9647
-1.67972e-19,20.9674
-1.67672e-19,20.9701
-1.67371e-19,20.9728
-1.67068e-19,20.9755
-1.66765e-19,20.9782
-1.66459e-19,20.981
-1.66152e-19,20.9837
-1.65844e-19,20.9864
-1.65534e-19,20.9891
-1.65222e-19,20.9918
-1.64908e-19,20.9945
-1.64592e-19,20.9972
-1.64275e-19,20.9999
-1.63955e-19,21.0026
-1.63633e-19,21.0052
-1.63309e-19,21.0079
-1.62982e-19,21.0106
-1.62653e-19,21.0133
-1.62322e-19,21.016
-1.61988e-19,21.0186
-1.61652e-19,21.0213
-1.61312e-19,21.024
-1.6097e-19,21.0267
-1.60625e-19,21.0293
-1.60277e-19,21.032
-1.59926e-19,21.0347
-1.59571e-19,21.0373
-1.59213e-19,21.04
-1.58852e-19,21.0426
-1.58488e-19,21.0453
-1.5812e-19,21.0479
-1.57748e-19,21.0506
-1.57372e-19,21.0532
-1.56993e-19,21.0559
-1.56609e-19,21.0585
-1.56221e-19,21.0611
-1.5583e-19,21.0638
-1.55511e-19,21.0664
-1.55218e-19,21.069
-1.54927e-19,21.0717
-1.54638e-19,21.0743
-1.5435e-19,21.0769
-1.54063e-19,21.0795
-1.53779e-19,21.0821
-1.53496e-19,21.0848
-1.53214e-19,21.0874
-1.52935e-19,21.09
-1.52657e-19,21.0926
-1.52382e-19,21.0952
-1.52108e-19,21.0978
-1.51837e-19,21.1004
-1.51567e-19,21.103
-1.513e-19,21.1056
-1.51035e-19,21.1082
-1.50773e-19,21.1108
-1.50513e-19,21.1134
-1.50255e-19,21.116
-1.5e-19,21.1185
-1.49748e-19,21.1211
-1.49498e-19,21.1237
-1.49251e-19,21.1263
-1.49007e-19,21.1288
-1.48766e-19,21.1314
-1.48527e-19,21.134
-1.48292e-19,21.1366
-1.4806e-19,21.1391
-1.47832e-19,21.1417
-1.47606e-19,21.1442
-1.47385e-19,21.1468
-1.47166e-19,21.1494
-1.46951e-19,21.1519
-1.4674e-19,21.1545
-1.46533e-19,21.157
-1.46329e-19,21.1595
-1.4613e-19,21.1621
-1.45934e-19,21.1646
-1.45743e-19,21.1672
-1.45556e-19,21.1697
-1.45373e-19,21.1722
-1.45195e-19,21.1748
-1.45021e-19,21.1773
-1.44852e-19,21.1798
-1.44688e-19,21.1823
-1.44528e-19,21.1849
-1.44373e-19,21.1874
-1.44224e-19,21.1899
-1.44079e-19,21.1924
-1.4394e-19,21.1949
-1.43806e-19,21.1974
-1.43678e-19,21.1999
-1.43555e-19,21.2024
-1.43438e-19,21.2049
-1.43327e-19,21.2074
-1.43222e-19,21.2099
-1.43123e-19,21.2124
-1.4303e-19,21.2149
-1.42943e-19,21.2174
-1.42863e-19,21.2199
-1.42789e-19,21.2224
-1.42722e-19,21.2249
-1.42662e-19,21.2273
-1.42609e-19,21.2298
-1.42563e-19,21.2323
-1.42524e-19,21.2348
-1.42492e-19,21.2372
-1.42468e-19,21.2397
-1.42451e-19,21.2422
-1.42442e-19,21.2446
-1.42441e-19,21.2471
-1.42345e-19,21.2495
-1.4221e-19,21.252
-1.42075e-19,21.2544
-1.41939e-19,21.2569
-1.41803e-19,21.2593
-1.41667e-19,21.2618
-1.41531e-19,21.2642
-1.41394e-19,21.2667
-1.41257e-19,21.2691
-1.41119e-19,21.2715
-1.4098e-19,21.274
-1.4084e-19,21.2764
-1.407e-19,21.2788
-1.40558e-19,21.2813
-1.40416e-19,21.2837
-1.40272e-19,21.2861
-1.40126e-19,21.2885
-1.39979e-19,21.2909
-1.39831e-19,21.2933
-1.39681e-19,21.2958
-1.39529e-19,21.2982
-1.39375e-19,21.3006
-1.39219e-19,21.303
-1.39061e-19,21.3054
-1.38901e-19,21.3078
-1.38738e-19,21.3102
-1.38573e-19,21.3126
-1.38405e-19,21.315
-1.38234e-19,21.3174
-1.38061e-19,21.3197
-1.37884e-19,21.3221
-1.37704e-19,21.3245
-1.37521e-19,21.3269
-1.37335e-19,21.3293
-1.37144e-19,21.3316
-1.3695e-19,21.334
-1.36753e-19,21.3364
-1.36551e-19,21.3388
-1.36344e-19,21.3411
-1.36134e-19,21.3435
-1.35919e-19,21.3458
-1.35699e-19,21.3482
-1.35475e-19,21.3506
-1.35246e-19,21.3529
-1.35011e-19,21.3553
-1.34771e-19,21.3576
-1.34526e-19,21.36
-1.34275e-19,21.3623
-1.34018e-19,21.3646
-1.33756e-19,21.367
-1.33487e-19,21.3693
-1.33211e-19,21.3717
-1.3293e-19,21.374
-1.32641e-19,21.3763
