environment | time (second),solute_concentrations | C_m_Na (mmol_per_cm3)
0,150
1,149.6778
2,149.3592
3,149.043
4,148.7286
5,148.4151
6,148.1028
7,147.7914
8,147.4809
9,147.1713
10,146.8623
11,146.5542
12,146.247
13,145.9407
14,145.6347
15,145.3299
16,145.0257
17,144.7221
18,144.4194
19,144.1173
20,143.8158
21,143.5152
22,143.2152
23,142.9161
24,142.6176
25,142.32
26,142.0227
27,141.7263
28,141.4308
29,141.1356
30,140.8413
31,140.5479
32,140.2548
33,139.9626
34,139.671
35,139.3803
36,139.0902
37,138.8007
38,138.5118
39,138.2235
40,137.9361
41,137.6493
42,137.3631
43,137.0778
44,136.7928
45,136.5087
46,136.2252
47,135.9426
48,135.6603
49,135.3789
50,135.0978
51,134.8176
52,134.538
53,134.2593
54,133.9809
55,133.7034
56,133.4262
57,133.1499
58,132.8742
59,132.5991
60,132.3246
61,132.051
62,131.7777
63,131.505
64,131.2332
65,130.962
66,130.6911
67,130.4211
68,130.1517
69,129.8829
70,129.6147
71,129.3471
72,129.0801
73,128.8137
74,128.5479
75,128.2827
76,128.0181
77,127.7544
78,127.491
79,127.2282
80,126.966
81,126.7044
82,126.4437
83,126.1833
84,125.9235
85,125.6643
86,125.4057
87,125.1477
88,124.8903
89,124.6335
90,124.3773
91,124.1217
92,123.8667
93,123.6123
94,123.3582
95,123.105
96,122.8521
97,122.6001
98,122.3484
99,122.0973
100,121.8471
101,121.5972
102,121.3479
103,121.0989
104,120.8508
105,120.6033
106,120.3561
107,120.1095
108,119.8638
109,119.6184
110,119.3736
111,119.1291
112,118.8855
113,118.6422
114,118.3998
115,118.1577
116,117.9159
117,117.675
118,117.4347
119,117.1947
120,116.9553
121,116.7165
122,116.4783
123,116.2407
124,116.0034
125,115.7667
126,115.5306
127,115.2951
128,115.0599
129,114.8253
130,114.5913
131,114.3579
132,114.1251
133,113.8926
134,113.6607
135,113.4294
136,113.1984
137,112.9683
138,112.7385
139,112.509
140,112.2804
141,112.0521
142,111.8244
143,111.597
144,111.3705
145,111.1443
146,110.9184
147,110.6934
148,110.4687
149,110.2443
150,110.0208
151,109.7976
152,109.575
153,109.3527
154,109.131
155,108.9099
156,108.6894
157,108.4692
158,108.2496
159,108.0303
160,107.8116
161,107.5935
162,107.3757
163,107.1585
164,106.9419
165,106.7256
166,106.5099
167,106.2945
168,106.0797
169,105.8655
170,105.6516
171,105.4383
172,105.2256
173,105.0132
174,104.8014
175,104.5899
176,104.379
177,104.1684
178,103.9584
179,103.749
180,103.5399
181,103.3314
182,103.1232
183,102.9156
184,102.7083
185,102.5016
186,102.2955
187,102.0897
188,101.8842
189,101.6796
190,101.475
191,101.271
192,101.0676
193,100.8645
194,100.662
195,100.4598
196,100.2582
197,100.0572
198,99.8562
199,99.6561
200,99.4563
201,99.2568
202,99.0579
203,98.8593
204,98.6613
205,98.4636
206,98.2665
207,98.0697
208,97.8735
209,97.6776
210,97.4823
211,97.2873
212,97.0926
213,96.8985
214,96.705
215,96.5118
216,96.3189
217,96.1266
218,95.9346
219,95.7432
220,95.5521
221,95.3613
222,95.1711
223,94.9815
224,94.7922
225,94.6032
226,94.4145
227,94.2264
228,94.0389
229,93.8517
230,93.6648
231,93.4785
232,93.2925
233,93.1068
234,92.9217
235,92.7369
236,92.5527
237,92.3688
238,92.1852
239,92.0022
240,91.8195
241,91.6371
242,91.4553
243,91.2738
244,91.0929
245,90.9123
246,90.732
247,90.5523
248,90.3729
249,90.1938
250,90.0153
251,89.8371
252,89.6592
253,89.4819
254,89.3049
255,89.1282
256,88.9518
257,88.776
258,88.6008
259,88.4256
260,88.251
261,88.0767
262,87.903
263,87.7293
264,87.5562
265,87.3837
266,87.2112
267,87.0393
268,86.868
269,86.6967
270,86.526
271,86.3556
272,86.1855
273,86.016
274,85.8468
275,85.6779
