Concentrations | C_ext_NH4 (mM),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2),NHE3 | J_NHE3_Na_Max (nmol_per_s_per_cm2),plot (mM),NHE3 | C_ext_NH4 (mM),,,,,,,,,,,,,,,,,,,
27.52,-8.26E-07,0.000737724,893.467,27.52,,,,,,,,,,,,,,,,,,,
27.91,-8.21E-07,0.000737724,898.04,27.91,,,,,,,,,,,,,,,,,,,
28.3,-8.17E-07,0.000737724,902.614,28.3,,,,,,,,,,,,,,,,,,,
28.69,-8.13E-07,0.000737724,907.187,28.69,,,,,,,,,,,,,,,,,,,
29.08,-8.09E-07,0.000737724,911.76,29.08,,,,,,,,,,,,,,,,,,,
29.47,-8.05E-07,0.000737724,916.334,29.47,,,,,,,,,,,,,,,,,,,
29.86,-8.01E-07,0.000737724,920.907,29.86,,,,,,,,,,,,,,,,,,,
30.25,-7.97E-07,0.000737724,925.48,30.25,,,,,,,,,,,,,,,,,,,
30.64,-7.93E-07,0.000737724,930.054,30.64,,,,,,,,,,,,,,,,,,,
31.03,-7.89E-07,0.000737724,934.627,31.03,,,,,,,,,,,,,,,,,,,
31.42,-7.85E-07,0.000737724,939.2,31.42,,,,,,,,,,,,,,,,,,,
31.81,-7.82E-07,0.000737724,943.774,31.81,,,,,,,,,,,,,,,,,,,
32.2,-7.78E-07,0.000737724,948.347,32.2,,,,,,,,,,,,,,,,,,,
32.59,-7.74E-07,0.000737724,952.92,32.59,,,,,,,,,,,,,,,,,,,
32.98,-7.70E-07,0.000737724,957.494,32.98,,,,,,,,,,,,,,,,,,,
33.37,-7.67E-07,0.000737724,962.067,33.37,,,,,,,,,,,,,,,,,,,
33.76,-7.63E-07,0.000737724,966.64,33.76,,,,,,,,,,,,,,,,,,,
34.15,-7.60E-07,0.000737724,971.214,34.15,,,,,,,,,,,,,,,,,,,
34.54,-7.56E-07,0.000737724,975.787,34.54,,,,,,,,,,,,,,,,,,,
34.93,-7.53E-07,0.000737724,980.36,34.93,,,,,,,,,,,,,,,,,,,
35.32,-7.49E-07,0.000737724,984.934,35.32,,,,,,,,,,,,,,,,,,,
35.71,-7.46E-07,0.000737724,989.507,35.71,,,,,,,,,,,,,,,,,,,
36.1,-7.42E-07,0.000737724,994.08,36.1,,,,,,,,,,,,,,,,,,,
36.49,-7.39E-07,0.000737724,998.654,36.49,,,,,,,,,,,,,,,,,,,
36.88,-7.35E-07,0.000737724,1003.23,36.88,,,,,,,,,,,,,,,,,,,
37.27,-7.32E-07,0.000737724,1007.8,37.27,,,,,,,,,,,,,,,,,,,
37.66,-7.29E-07,0.000737724,1012.37,37.66,,,,,,,,,,,,,,,,,,,
38.05,-7.25E-07,0.000737724,1016.95,38.05,,,,,,,,,,,,,,,,,,,
38.44,-7.22E-07,0.000737724,1021.52,38.44,,,,,,,,,,,,,,,,,,,
38.83,-7.19E-07,0.000737724,1026.09,38.83,,,,,,,,,,,,,,,,,,,
39.22,-7.16E-07,0.000737724,1030.67,39.22,,,,,,,,,,,,,,,,,,,
39.61,-7.13E-07,0.000737724,1035.24,39.61,,,,,,,,,,,,,,,,,,,
40,-7.09E-07,0.000737724,1039.81,40,,,,,,,,,,,,,,,,,,,
